geoName,geoCode,matrimonio civile
Abruzzo,IT-65,100
Aosta,IT-23,0
Apulia,IT-75,88
Basilicata,IT-77,47
Calabria,IT-78,84
Campania,IT-72,82
Emilia-Romagna,IT-45,51
Friuli-Venezia Giulia,IT-36,59
Lazio,IT-62,70
Liguria,IT-42,41
Lombardy,IT-25,71
Marche,IT-57,42
Molise,IT-67,0
Piedmont,IT-21,79
Sardinia,IT-88,62
Sicily,IT-82,79
Trentino-Alto Adige/South Tyrol,IT-32,34
Tuscany,IT-52,55
Umbria,IT-55,45
Veneto,IT-34,62
