geoName,geoCode,drone
Abruzzo,IT-65,94
Aosta,IT-23,61
Apulia,IT-75,75
Basilicata,IT-77,80
Calabria,IT-78,64
Campania,IT-72,76
Emilia-Romagna,IT-45,75
Friuli-Venezia Giulia,IT-36,92
Lazio,IT-62,88
Liguria,IT-42,91
Lombardy,IT-25,75
Marche,IT-57,75
Molise,IT-67,67
Piedmont,IT-21,84
Sardinia,IT-88,100
Sicily,IT-82,82
Trentino-Alto Adige/South Tyrol,IT-32,84
Tuscany,IT-52,77
Umbria,IT-55,72
Veneto,IT-34,88
