geoName,geoCode,band
Abruzzo,IT-65,76
Aosta,IT-23,93
Apulia,IT-75,72
Basilicata,IT-77,60
Calabria,IT-78,59
Campania,IT-72,61
Emilia-Romagna,IT-45,92
Friuli-Venezia Giulia,IT-36,93
Lazio,IT-62,77
Liguria,IT-42,85
Lombardy,IT-25,84
Marche,IT-57,77
Molise,IT-67,85
Piedmont,IT-21,83
Sardinia,IT-88,83
Sicily,IT-82,62
Trentino-Alto Adige/South Tyrol,IT-32,100
Tuscany,IT-52,80
Umbria,IT-55,78
Veneto,IT-34,92
