date,Wasserinstallateur,isPartial
2018-01-07,52,False
2018-01-14,33,False
2018-01-21,43,False
2018-01-28,42,False
2018-02-04,48,False
2018-02-11,49,False
2018-02-18,34,False
2018-02-25,96,False
2018-03-04,58,False
2018-03-11,53,False
2018-03-18,58,False
2018-03-25,41,False
2018-04-01,62,False
2018-04-08,55,False
2018-04-15,40,False
2018-04-22,58,False
2018-04-29,30,False
2018-05-06,46,False
2018-05-13,19,False
2018-05-20,31,False
2018-05-27,60,False
2018-06-03,54,False
2018-06-10,42,False
2018-06-17,29,False
2018-06-24,37,False
2018-07-01,67,False
2018-07-08,29,False
2018-07-15,60,False
2018-07-22,55,False
2018-07-29,45,False
2018-08-05,69,False
2018-08-12,45,False
2018-08-19,75,False
2018-08-26,50,False
2018-09-02,44,False
2018-09-09,22,False
2018-09-16,39,False
2018-09-23,29,False
2018-09-30,58,False
2018-10-07,73,False
2018-10-14,34,False
2018-10-21,33,False
2018-10-28,21,False
2018-11-04,88,False
2018-11-11,57,False
2018-11-18,55,False
2018-11-25,47,False
2018-12-02,46,False
2018-12-09,52,False
2018-12-16,39,False
2018-12-23,33,False
2018-12-30,55,False
2019-01-06,63,False
2019-01-13,66,False
2019-01-20,40,False
2019-01-27,44,False
2019-02-03,68,False
2019-02-10,64,False
2019-02-17,50,False
2019-02-24,47,False
2019-03-03,63,False
2019-03-10,54,False
2019-03-17,70,False
2019-03-24,42,False
2019-03-31,51,False
2019-04-07,41,False
2019-04-14,35,False
2019-04-21,34,False
2019-04-28,69,False
2019-05-05,58,False
2019-05-12,35,False
2019-05-19,41,False
2019-05-26,71,False
2019-06-02,45,False
2019-06-09,37,False
2019-06-16,24,False
2019-06-23,33,False
2019-06-30,41,False
2019-07-07,50,False
2019-07-14,100,False
2019-07-21,45,False
2019-07-28,58,False
2019-08-04,29,False
2019-08-11,47,False
2019-08-18,52,False
2019-08-25,93,False
2019-09-01,32,False
2019-09-08,74,False
2019-09-15,28,False
2019-09-22,49,False
2019-09-29,50,False
2019-10-06,62,False
2019-10-13,53,False
2019-10-20,48,False
2019-10-27,48,False
2019-11-03,79,False
2019-11-10,68,False
2019-11-17,81,False
2019-11-24,50,False
2019-12-01,26,False
2019-12-08,43,False
2019-12-15,39,False
2019-12-22,30,False
2019-12-29,23,False
2020-01-05,25,False
2020-01-12,47,False
2020-01-19,53,False
2020-01-26,32,False
2020-02-02,53,False
2020-02-09,36,False
2020-02-16,41,False
2020-02-23,32,False
2020-03-01,36,False
2020-03-08,34,False
2020-03-15,26,False
2020-03-22,36,False
2020-03-29,16,False
2020-04-05,36,False
2020-04-12,69,False
2020-04-19,37,False
2020-04-26,36,False
2020-05-03,37,False
2020-05-10,39,False
