date,camicie donna,isPartial
2018-01-07,51,False
2018-01-14,68,False
2018-01-21,53,False
2018-01-28,43,False
2018-02-04,52,False
2018-02-11,57,False
2018-02-18,74,False
2018-02-25,53,False
2018-03-04,51,False
2018-03-11,85,False
2018-03-18,85,False
2018-03-25,62,False
2018-04-01,97,False
2018-04-08,93,False
2018-04-15,93,False
2018-04-22,78,False
2018-04-29,92,False
2018-05-06,100,False
2018-05-13,81,False
2018-05-20,62,False
2018-05-27,58,False
2018-06-03,68,False
2018-06-10,69,False
2018-06-17,62,False
2018-06-24,56,False
2018-07-01,83,False
2018-07-08,69,False
2018-07-15,63,False
2018-07-22,76,False
2018-07-29,40,False
2018-08-05,28,False
2018-08-12,49,False
2018-08-19,50,False
2018-08-26,66,False
2018-09-02,61,False
2018-09-09,63,False
2018-09-16,44,False
2018-09-23,64,False
2018-09-30,85,False
2018-10-07,72,False
2018-10-14,78,False
2018-10-21,59,False
2018-10-28,71,False
2018-11-04,48,False
2018-11-11,58,False
2018-11-18,56,False
2018-11-25,50,False
2018-12-02,60,False
2018-12-09,38,False
2018-12-16,60,False
2018-12-23,57,False
2018-12-30,39,False
2019-01-06,65,False
2019-01-13,70,False
2019-01-20,45,False
2019-01-27,35,False
2019-02-03,66,False
2019-02-10,46,False
2019-02-17,63,False
2019-02-24,74,False
2019-03-03,70,False
2019-03-10,82,False
2019-03-17,75,False
2019-03-24,86,False
2019-03-31,97,False
2019-04-07,91,False
2019-04-14,100,False
2019-04-21,89,False
2019-04-28,97,False
2019-05-05,98,False
2019-05-12,73,False
2019-05-19,77,False
2019-05-26,88,False
2019-06-02,80,False
2019-06-09,83,False
2019-06-16,71,False
2019-06-23,58,False
2019-06-30,58,False
2019-07-07,58,False
2019-07-14,55,False
2019-07-21,49,False
2019-07-28,37,False
2019-08-04,30,False
2019-08-11,46,False
2019-08-18,28,False
2019-08-25,67,False
2019-09-01,41,False
2019-09-08,93,False
2019-09-15,61,False
2019-09-22,46,False
2019-09-29,62,False
2019-10-06,63,False
2019-10-13,69,False
2019-10-20,73,False
2019-10-27,92,False
2019-11-03,53,False
2019-11-10,47,False
2019-11-17,64,False
2019-11-24,62,False
2019-12-01,69,False
2019-12-08,53,False
2019-12-15,51,False
2019-12-22,46,False
2019-12-29,40,False
2020-01-05,59,False
2020-01-12,51,False
2020-01-19,52,False
2020-01-26,65,False
2020-02-02,51,False
2020-02-09,65,False
2020-02-16,52,False
2020-02-23,64,False
2020-03-01,56,False
2020-03-08,24,False
2020-03-15,15,False
2020-03-22,28,False
2020-03-29,32,False
2020-04-05,23,False
2020-04-12,55,False
2020-04-19,61,False
2020-04-26,56,True
