geoName,geoCode,Linoleum
Baden-Württemberg,DE-BW,36
Bavaria,DE-BY,36
Berlin,DE-BE,100
Brandenburg,DE-BB,92
Bremen,DE-HB,32
Hamburg,DE-HH,47
Hesse,DE-HE,40
Lower Saxony,DE-NI,39
Mecklenburg-Vorpommern,DE-MV,63
North Rhine-Westphalia,DE-NW,33
Rhineland-Palatinate,DE-RP,34
Saarland,DE-SL,33
Saxony,DE-SN,50
Saxony-Anhalt,DE-ST,54
Schleswig-Holstein,DE-SH,29
Thuringia,DE-TH,50
