geoName,geoCode,torta morbida
Abruzzo,IT-65,63
Aosta,IT-23,0
Apulia,IT-75,79
Basilicata,IT-77,84
Calabria,IT-78,100
Campania,IT-72,67
Emilia-Romagna,IT-45,70
Friuli-Venezia Giulia,IT-36,69
Lazio,IT-62,43
Liguria,IT-42,89
Lombardy,IT-25,89
Marche,IT-57,60
Molise,IT-67,47
Piedmont,IT-21,93
Sardinia,IT-88,88
Sicily,IT-82,81
Trentino-Alto Adige/South Tyrol,IT-32,51
Tuscany,IT-52,70
Umbria,IT-55,34
Veneto,IT-34,76
