date,Joyeria,isPartial
2018-01-07,62,False
2018-01-14,62,False
2018-01-21,55,False
2018-01-28,46,False
2018-02-04,47,False
2018-02-11,61,False
2018-02-18,61,False
2018-02-25,56,False
2018-03-04,51,False
2018-03-11,48,False
2018-03-18,48,False
2018-03-25,66,False
2018-04-01,52,False
2018-04-08,48,False
2018-04-15,40,False
2018-04-22,52,False
2018-04-29,70,False
2018-05-06,48,False
2018-05-13,51,False
2018-05-20,59,False
2018-05-27,51,False
2018-06-03,44,False
2018-06-10,47,False
2018-06-17,54,False
2018-06-24,51,False
2018-07-01,54,False
2018-07-08,56,False
2018-07-15,74,False
2018-07-22,53,False
2018-07-29,45,False
2018-08-05,47,False
2018-08-12,54,False
2018-08-19,56,False
2018-08-26,66,False
2018-09-02,39,False
2018-09-09,57,False
2018-09-16,52,False
2018-09-23,52,False
2018-09-30,62,False
2018-10-07,44,False
2018-10-14,43,False
2018-10-21,65,False
2018-10-28,52,False
2018-11-04,41,False
2018-11-11,39,False
2018-11-18,50,False
2018-11-25,49,False
2018-12-02,61,False
2018-12-09,65,False
2018-12-16,87,False
2018-12-23,91,False
2018-12-30,100,False
2019-01-06,52,False
2019-01-13,41,False
2019-01-20,63,False
2019-01-27,46,False
2019-02-03,77,False
2019-02-10,59,False
2019-02-17,59,False
2019-02-24,38,False
2019-03-03,48,False
2019-03-10,57,False
2019-03-17,44,False
2019-03-24,43,False
2019-03-31,41,False
2019-04-07,58,False
2019-04-14,49,False
2019-04-21,59,False
2019-04-28,48,False
2019-05-05,59,False
2019-05-12,52,False
2019-05-19,58,False
2019-05-26,44,False
2019-06-02,45,False
2019-06-09,49,False
2019-06-16,56,False
2019-06-23,47,False
2019-06-30,36,False
2019-07-07,40,False
2019-07-14,75,False
2019-07-21,47,False
2019-07-28,54,False
2019-08-04,45,False
2019-08-11,70,False
2019-08-18,36,False
2019-08-25,42,False
2019-09-01,44,False
2019-09-08,58,False
2019-09-15,69,False
2019-09-22,60,False
2019-09-29,50,False
2019-10-06,47,False
2019-10-13,49,False
2019-10-20,57,False
2019-10-27,60,False
2019-11-03,55,False
2019-11-10,45,False
2019-11-17,46,False
2019-11-24,58,False
2019-12-01,62,False
2019-12-08,86,False
2019-12-15,78,False
2019-12-22,96,False
2019-12-29,86,False
2020-01-05,84,False
2020-01-12,52,False
2020-01-19,66,False
2020-01-26,52,False
2020-02-02,64,False
2020-02-09,82,False
2020-02-16,42,False
2020-02-23,59,False
2020-03-01,46,False
2020-03-08,43,False
2020-03-15,31,False
2020-03-22,18,False
2020-03-29,19,False
2020-04-05,21,False
2020-04-12,31,True
