geoName,geoCode,Joyeria
Andalusia,ES-AN,88
Aragon,ES-AR,76
Asturias,ES-AS,89
Balearic Islands,ES-IB,59
Basque Country,ES-PV,55
Canary Islands,ES-CN,49
Cantabria,ES-CB,71
Castile and León,ES-CL,72
Castile-La Mancha,ES-CM,50
Catalonia,ES-CT,65
Ceuta,ES-CE,0
Community of Madrid,ES-MD,74
Extremadura,ES-EX,63
Galicia,ES-GA,100
La Rioja,ES-RI,77
Melilla,ES-ML,35
Navarre,ES-NC,62
Region of Murcia,ES-MC,80
Valencian Community,ES-VC,68
