date,Installation climatisation,reparation volet,travaux rénovation,artisan peintre,moustiquaire lit
2018-01-07,0.0,0.06,0.255,0.095,0.0
2018-01-14,0.0,0.0,0.06,0.06,0.0
2018-01-21,0.0,0.0,0.28,0.06,0.0
2018-01-28,0.065,0.0,0.06,0.06,0.0
2018-02-04,0.06,0.0,0.255,0.0,0.06
2018-02-11,0.06,0.0,0.09,0.06,0.06
2018-02-18,0.06,0.06,0.255,0.0,0.255
2018-02-25,0.0,0.06,0.0,0.0,0.0
2018-03-04,0.0,0.0,0.31,0.09,0.0
2018-03-11,0.06,0.06,0.06,0.0,0.0
2018-03-18,0.06,0.0,0.29,0.06,0.06
2018-03-25,0.065,0.0,0.26,0.065,0.06
2018-04-01,0.16,0.065,0.065,0.065,0.065
2018-04-08,0.0,0.0,0.065,0.0,0.065
2018-04-15,0.07,0.07,0.225,0.14,0.07
2018-04-22,0.065,0.0,0.065,0.0,0.065
2018-04-29,0.13,0.065,0.13,0.125,0.13
2018-05-06,0.065,0.065,0.27,0.0,0.155
2018-05-13,0.065,0.065,0.095,0.125,0.285
2018-05-20,0.1,0.0,0.0,0.065,0.315
2018-05-27,0.065,0.0,0.065,0.065,0.26
2018-06-03,0.065,0.065,0.335,0.0,0.19
2018-06-10,0.125,0.125,0.0,0.065,0.095
2018-06-17,0.1,0.0,0.065,0.065,0.325
2018-06-24,0.065,0.065,0.0,0.065,0.37
2018-07-01,0.19,0.065,0.265,0.13,0.46
2018-07-08,0.0,0.065,0.13,0.195,0.26
2018-07-15,0.1,0.0,0.135,0.07,0.18
2018-07-22,0.185,0.07,0.28,0.09,0.415
2018-07-29,0.665,0.0,0.0,0.0,0.47
2018-08-05,0.14,0.07,0.07,0.0,0.355
2018-08-12,0.095,0.0,0.29,0.07,0.0
2018-08-19,0.285,0.07,0.07,0.0,0.07
2018-08-26,0.065,0.0,0.215,0.0,0.28
2018-09-02,0.0,0.065,0.0,0.1,0.065
2018-09-09,0.13,0.0,0.0,0.13,0.3
2018-09-16,0.065,0.065,0.31,0.065,0.0
2018-09-23,0.13,0.065,0.13,0.065,0.1
2018-09-30,0.065,0.065,0.095,0.065,0.0
2018-10-07,0.275,0.065,0.195,0.0,0.065
2018-10-14,0.135,0.0,0.065,0.065,0.0
2018-10-21,0.0,0.1,0.065,0.0,0.0
2018-10-28,0.065,0.065,0.195,0.065,0.0
2018-11-04,0.125,0.065,0.065,0.125,0.0
2018-11-11,0.13,0.065,0.265,0.065,0.0
2018-11-18,0.065,0.06,0.095,0.065,0.125
2018-11-25,0.065,0.065,0.105,0.0,0.065
2018-12-02,0.065,0.0,0.125,0.065,0.0
2018-12-09,0.13,0.0,0.065,0.0,0.205
2018-12-16,0.0,0.065,0.0,0.065,0.0
2018-12-23,0.07,0.0,0.285,0.0,0.0
2018-12-30,0.065,0.065,0.275,0.0,0.065
2019-01-06,0.06,0.0,0.255,0.065,0.06
2019-01-13,0.06,0.105,0.0,0.06,0.0
2019-01-20,0.0,0.06,0.25,0.06,0.06
2019-01-27,0.06,0.0,0.06,0.06,0.06
2019-02-03,0.06,0.185,0.0,0.06,0.0
2019-02-10,0.325,0.0,0.125,0.06,0.0
2019-02-17,0.065,0.0,0.095,0.085,0.29
2019-02-24,0.295,0.0,0.125,0.125,0.06
2019-03-03,0.06,0.06,0.37,0.06,0.0
2019-03-10,0.09,0.06,0.12,0.06,0.2
2019-03-17,0.065,0.0,0.125,0.0,0.065
2019-03-24,0.09,0.06,0.06,0.09,0.06
2019-03-31,0.315,0.06,0.08,0.06,0.09
2019-04-07,0.085,0.0,0.06,0.09,0.06
2019-04-14,0.06,0.0,0.27,0.125,0.265
2019-04-21,0.12,0.12,0.06,0.06,0.06
2019-04-28,0.06,0.0,0.06,0.0,0.09
2019-05-05,0.055,0.0,0.3,0.06,0.06
2019-05-12,0.115,0.06,0.06,0.085,0.26
2019-05-19,0.09,0.06,0.115,0.06,0.06
2019-05-26,0.06,0.125,0.085,0.0,0.085
2019-06-02,0.09,0.0,0.06,0.09,0.12
2019-06-09,0.14,0.0,0.055,0.0,0.115
2019-06-16,0.14,0.0,0.26,0.12,0.06
2019-06-23,1.0,0.06,0.06,0.06,0.38
2019-06-30,0.495,0.06,0.12,0.0,0.3
2019-07-07,0.29,0.12,0.06,0.115,0.335
2019-07-14,0.265,0.06,0.06,0.06,0.15
2019-07-21,0.61,0.06,0.06,0.0,0.34
2019-07-28,0.06,0.065,0.265,0.06,0.085
2019-08-04,0.065,0.065,0.065,0.065,0.415
2019-08-11,0.11,0.065,0.0,0.065,0.175
2019-08-18,0.135,0.135,0.07,0.0,0.135
2019-08-25,0.0,0.125,0.265,0.065,0.065
2019-09-01,0.0,0.0,0.055,0.055,0.055
2019-09-08,0.25,0.115,0.115,0.0,0.055
2019-09-15,0.075,0.0,0.085,0.055,0.055
2019-09-22,0.11,0.055,0.255,0.055,0.055
2019-09-29,0.175,0.12,0.06,0.06,0.085
2019-10-06,0.06,0.0,0.06,0.085,0.06
2019-10-13,0.245,0.055,0.055,0.06,0.055
2019-10-20,0.085,0.0,0.055,0.055,0.055
2019-10-27,0.055,0.11,0.465,0.055,0.055
2019-11-03,0.055,0.11,0.23,0.055,0.055
2019-11-10,0.285,0.055,0.055,0.08,0.0
2019-11-17,0.235,0.0,0.08,0.055,0.055
2019-11-24,0.055,0.0,0.22,0.05,0.055
2019-12-01,0.105,0.0,0.105,0.07,0.055
2019-12-08,0.175,0.105,0.105,0.05,0.0
2019-12-15,0.16,0.0,0.285,0.055,0.0
2019-12-22,0.06,0.06,0.06,0.06,0.06
2019-12-29,0.055,0.0,0.0,0.085,0.0
2020-01-05,0.055,0.11,0.055,0.0,0.17
2020-01-12,0.25,0.07,0.08,0.05,0.08
2020-01-19,0.055,0.05,0.08,0.05,0.225
2020-01-26,0.05,0.05,0.07,0.05,0.1
2020-02-02,0.05,0.0,0.05,0.075,0.215
2020-02-09,0.075,0.05,0.25,0.05,0.05
2020-02-16,0.1,0.05,0.0,0.065,0.165
2020-02-23,0.265,0.05,0.0,0.05,0.24
2020-03-01,0.05,0.05,0.26,0.0,0.05
2020-03-08,0.075,0.05,0.05,0.05,0.065
2020-03-15,0.47,0.05,0.0,0.05,0.05
2020-03-22,0.18,0.0,0.09,0.0,0.0
2020-03-29,0.045,0.045,0.045,0.045,0.0
2020-04-05,0.045,0.045,0.045,0.045,0.21
2020-04-12,0.095,0.0,0.045,0.045,0.14
2020-04-19,0.375,0.0,0.07,0.045,0.315
2020-04-26,0.255,0.045,0.065,0.045,0.11
2020-05-03,0.15,0.09,0.065,0.0,0.225
