date,pintar habitacion,instalar aire acondicionado,decorador,arreglar muebles,empresa de reformas,isPartial
2018-01-07,54,17,27,0,17,False
2018-01-14,33,48,24,0,0,False
2018-01-21,33,16,49,16,16,False
2018-01-28,22,16,24,16,32,False
2018-02-04,21,0,16,16,0,False
2018-02-11,17,25,44,33,33,False
2018-02-18,22,0,33,0,39,False
2018-02-25,32,16,81,16,16,False
2018-03-04,32,16,24,0,16,False
2018-03-11,21,16,16,0,16,False
2018-03-18,28,0,17,0,17,False
2018-03-25,21,21,28,0,0,False
2018-04-01,27,16,41,0,33,False
2018-04-08,36,31,23,0,15,False
2018-04-15,48,16,24,0,32,False
2018-04-22,40,16,16,0,32,False
2018-04-29,37,18,18,18,37,False
2018-05-06,21,32,32,16,16,False
2018-05-13,33,17,28,0,17,False
2018-05-20,64,24,37,16,16,False
2018-05-27,21,16,24,16,16,False
2018-06-03,32,0,31,0,16,False
2018-06-10,26,0,40,0,16,False
2018-06-17,34,77,26,0,0,False
2018-06-24,26,62,43,17,25,False
2018-07-01,18,45,18,0,0,False
2018-07-08,30,30,18,18,18,False
2018-07-15,51,29,29,19,19,False
2018-07-22,60,50,40,0,50,False
2018-07-29,48,41,20,0,0,False
2018-08-05,33,100,67,0,29,False
2018-08-12,60,24,24,0,47,False
2018-08-19,59,22,22,0,22,False
2018-08-26,39,26,38,0,38,False
2018-09-02,23,25,51,0,17,False
2018-09-09,33,33,49,17,27,False
2018-09-16,26,16,24,16,26,False
2018-09-23,21,16,55,0,31,False
2018-09-30,24,21,24,0,47,False
2018-10-07,33,17,22,0,17,False
2018-10-14,24,16,47,16,24,False
2018-10-21,21,16,42,16,31,False
2018-10-28,49,34,41,0,41,False
2018-11-04,19,24,28,0,14,False
2018-11-11,35,15,15,0,37,False
2018-11-18,15,22,25,15,37,False
2018-11-25,29,29,38,0,19,False
2018-12-02,31,15,36,0,31,False
2018-12-09,16,0,47,0,24,False
2018-12-16,24,16,37,0,32,False
2018-12-23,39,0,20,0,39,False
2018-12-30,25,17,17,0,17,False
2019-01-06,22,32,25,0,33,False
2019-01-13,30,20,31,0,53,False
2019-01-20,14,28,19,0,33,False
2019-01-27,27,13,40,13,13,False
2019-02-03,46,0,25,15,15,False
2019-02-10,25,0,20,0,35,False
2019-02-17,31,0,26,0,41,False
2019-02-24,48,20,46,14,45,False
2019-03-03,31,16,42,0,24,False
2019-03-10,48,21,16,0,16,False
2019-03-17,27,0,37,0,16,False
2019-03-24,16,0,26,16,39,False
2019-03-31,30,23,30,15,15,False
2019-04-07,20,14,27,14,32,False
2019-04-14,39,29,29,0,39,False
2019-04-21,39,16,31,0,15,False
2019-04-28,27,0,33,0,16,False
2019-05-05,41,14,23,14,42,False
2019-05-12,21,31,20,15,36,False
2019-05-19,30,15,53,0,15,False
2019-05-26,20,34,54,22,29,False
2019-06-02,19,24,22,15,22,False
2019-06-09,24,15,19,0,48,False
2019-06-16,16,16,37,0,16,False
2019-06-23,32,81,24,0,38,False
2019-06-30,34,84,17,0,34,False
2019-07-07,26,31,47,0,31,False
2019-07-14,18,62,18,0,36,False
2019-07-21,18,64,52,0,0,False
2019-07-28,49,49,59,20,0,False
2019-08-04,22,36,22,0,21,False
2019-08-11,81,23,23,23,23,False
2019-08-18,32,32,0,0,43,False
2019-08-25,37,19,19,37,55,False
2019-09-01,20,45,59,15,35,False
2019-09-08,30,15,20,15,20,False
2019-09-15,14,0,33,0,19,False
2019-09-22,24,15,51,0,29,False
2019-09-29,14,0,50,0,36,False
2019-10-06,43,14,21,0,36,False
2019-10-13,14,0,56,0,35,False
2019-10-20,35,42,28,0,14,False
2019-10-27,22,57,29,0,34,False
2019-11-03,28,14,46,14,21,False
2019-11-10,34,14,18,14,27,False
2019-11-17,14,0,14,27,27,False
2019-11-24,39,0,20,0,22,False
2019-12-01,24,15,15,15,24,False
2019-12-08,29,0,29,0,25,False
2019-12-15,14,14,14,0,14,False
2019-12-22,23,0,34,17,23,False
2019-12-29,33,0,42,0,17,False
2020-01-05,21,14,29,14,21,False
2020-01-12,22,13,35,0,26,False
2020-01-19,27,13,18,13,20,False
2020-01-26,18,13,35,0,13,False
2020-02-02,36,13,33,0,18,False
2020-02-09,27,0,13,13,27,False
2020-02-16,22,13,13,0,13,False
2020-02-23,22,13,22,13,20,False
2020-03-01,19,13,21,13,26,False
2020-03-08,13,13,13,0,13,False
2020-03-15,26,13,13,0,40,False
2020-03-22,34,13,13,0,0,False
2020-03-29,13,0,26,0,13,False
2020-04-05,40,27,13,0,0,False
2020-04-12,38,13,21,0,13,False
2020-04-19,17,13,0,12,13,False
2020-04-26,25,13,31,0,13,False
2020-05-03,29,33,37,0,12,False
2020-05-10,50,37,12,0,17,False
2020-05-17,34,46,13,0,19,False
2020-05-24,26,39,13,0,13,False
2020-05-31,25,29,21,0,25,False
2020-06-07,43,21,38,13,30,False
2020-06-14,47,46,46,0,93,True
