geoName,geoCode,Installation climatisation,reparation volet,travaux rénovation,artisan peintre,moustiquaire lit
Alsace,FR-A,50,0,27,7,16
Aquitaine,FR-B,30,5,12,12,41
Auvergne,FR-C,52,0,21,0,27
Brittany,FR-E,6,20,15,24,35
Burgundy,FR-D,42,0,0,0,58
Centre-Val de Loire,FR-F,32,0,14,17,37
Champagne-Ardenne,FR-G,60,0,0,0,40
Corsica,FR-H,0,0,0,0,0
Franche-Comté,FR-I,44,0,26,0,30
Languedoc-Roussillon,FR-K,23,9,12,11,45
Limousin,FR-L,40,12,34,14,0
Lorraine,FR-M,45,0,13,9,33
Lower Normandy,FR-P,0,0,100,0,0
Midi-Pyrénées,FR-N,27,7,13,18,35
Nord-Pas-de-Calais,FR-O,18,6,20,13,43
Pays de la Loire,FR-R,16,9,26,20,29
Picardy,FR-S,18,0,57,0,25
Poitou-Charentes,FR-T,19,0,24,28,29
Provence-Alpes-Côte d'Azur,FR-U,31,6,13,11,39
Rhone-Alpes,FR-V,38,6,12,10,34
Upper Normandy,FR-Q,0,0,0,0,0
Île-de-France,FR-J,29,8,25,8,30
