date,pintar habitacion,instalar aire acondicionado,decorador,arreglar muebles,empresa de reformas,isPartial
2018-01-07,15,15,22,0,15,False
2018-01-14,52,0,15,0,15,False
2018-01-21,43,14,29,0,14,False
2018-01-28,24,0,20,0,15,False
2018-02-04,36,0,0,0,14,False
2018-02-11,37,0,44,0,0,False
2018-02-18,15,0,15,0,0,False
2018-02-25,28,14,21,0,21,False
2018-03-04,36,24,29,0,0,False
2018-03-11,14,0,14,0,22,False
2018-03-18,29,0,44,0,14,False
2018-03-25,16,25,16,0,16,False
2018-04-01,30,0,15,0,15,False
2018-04-08,23,14,28,0,28,False
2018-04-15,20,15,15,0,0,False
2018-04-22,39,0,19,0,14,False
2018-04-29,22,15,15,0,15,False
2018-05-06,41,0,14,0,0,False
2018-05-13,15,0,15,0,0,False
2018-05-20,34,15,30,0,0,False
2018-05-27,0,14,14,0,0,False
2018-06-03,21,28,19,0,14,False
2018-06-10,28,28,28,0,27,False
2018-06-17,15,50,30,0,0,False
2018-06-24,20,44,15,0,15,False
2018-07-01,30,30,15,0,15,False
2018-07-08,22,44,15,0,14,False
2018-07-15,20,44,30,0,15,False
2018-07-22,22,25,15,0,15,False
2018-07-29,31,72,21,0,0,False
2018-08-05,37,99,32,0,16,False
2018-08-12,41,24,16,0,0,False
2018-08-19,49,24,16,0,16,False
2018-08-26,23,0,15,0,15,False
2018-09-02,19,14,29,0,19,False
2018-09-09,15,0,15,0,0,False
2018-09-16,36,43,29,0,28,False
2018-09-23,36,21,14,0,0,False
2018-09-30,48,0,0,0,22,False
2018-10-07,20,15,15,0,15,False
2018-10-14,14,14,14,0,14,False
2018-10-21,14,0,14,0,14,False
2018-10-28,38,0,15,0,0,False
2018-11-04,29,14,14,0,14,False
2018-11-11,36,14,21,0,21,False
2018-11-18,35,14,0,0,14,False
2018-11-25,20,15,29,0,15,False
2018-12-02,15,0,15,0,0,False
2018-12-09,15,0,15,0,0,False
2018-12-16,22,0,15,0,15,False
2018-12-23,24,18,18,0,0,False
2018-12-30,25,0,25,0,17,False
2019-01-06,15,0,15,0,0,False
2019-01-13,24,0,14,0,29,False
2019-01-20,21,27,27,0,14,False
2019-01-27,43,21,0,0,21,False
2019-02-03,14,14,21,0,14,False
2019-02-10,29,14,14,0,14,False
2019-02-17,21,14,14,0,14,False
2019-02-24,29,0,14,0,28,False
2019-03-03,29,0,0,0,14,False
2019-03-10,29,14,29,0,14,False
2019-03-17,28,21,14,0,14,False
2019-03-24,36,14,29,0,29,False
2019-03-31,33,14,28,0,14,False
2019-04-07,28,28,21,0,14,False
2019-04-14,38,15,31,0,15,False
2019-04-21,42,14,29,0,21,False
2019-04-28,41,14,14,0,14,False
2019-05-05,28,32,14,0,14,False
2019-05-12,14,14,14,0,14,False
2019-05-19,31,20,18,0,27,False
2019-05-26,22,18,13,0,26,False
2019-06-02,34,40,13,0,0,False
2019-06-09,27,14,0,0,14,False
2019-06-16,19,19,14,0,14,False
2019-06-23,22,39,15,0,15,False
2019-06-30,38,100,33,0,14,False
2019-07-07,34,27,14,0,27,False
2019-07-14,23,28,28,0,14,False
2019-07-21,29,24,15,0,14,False
2019-07-28,23,40,15,0,0,False
2019-08-04,16,36,31,0,0,False
2019-08-11,47,31,0,0,16,False
2019-08-18,31,15,15,0,46,False
2019-08-25,0,14,14,0,14,False
2019-09-01,34,20,41,0,27,False
2019-09-08,36,0,23,0,13,False
2019-09-15,18,13,13,0,0,False
2019-09-22,18,27,26,0,13,False
2019-09-29,22,13,39,0,0,False
2019-10-06,34,13,19,0,13,False
2019-10-13,25,13,0,0,19,False
2019-10-20,19,25,19,0,13,False
2019-10-27,31,13,13,0,26,False
2019-11-03,26,13,13,0,0,False
2019-11-10,39,13,26,0,19,False
2019-11-17,26,13,20,0,0,False
2019-11-24,13,13,39,0,0,False
2019-12-01,13,13,13,0,0,False
2019-12-08,27,13,20,0,0,False
2019-12-15,0,40,18,0,13,False
2019-12-22,31,0,15,0,15,False
2019-12-29,22,14,37,0,15,False
2020-01-05,33,27,26,0,40,False
2020-01-12,12,12,18,0,12,False
2020-01-19,20,12,16,0,12,False
2020-01-26,0,12,25,0,0,False
2020-02-02,13,0,21,0,13,False
2020-02-09,19,13,19,0,13,False
2020-02-16,13,13,25,0,13,False
2020-02-23,25,12,25,0,12,False
2020-03-01,24,12,12,0,0,False
2020-03-08,12,12,12,0,12,False
2020-03-15,20,0,12,0,12,False
2020-03-22,40,11,17,0,0,False
2020-03-29,0,11,11,0,12,False
2020-04-05,24,12,0,0,0,False
2020-04-12,23,17,11,0,11,False
2020-04-19,48,11,11,0,0,False
2020-04-26,34,11,23,0,11,False
2020-05-03,26,18,11,0,11,False
2020-05-10,18,15,15,0,16,False
2020-05-17,38,15,23,0,34,False
2020-05-24,35,19,23,0,23,False
2020-05-31,45,30,45,0,11,False
2020-06-07,34,11,23,0,15,False
2020-06-14,64,42,0,0,0,True
