date,Installation climatisation,reparation volet,travaux rénovation,artisan peintre,moustiquaire lit
2018-01-07,0.16875,0.10625,0.0,0.0,0.0
2018-01-14,0.16875,0.16875,0.0,0.61875,0.0
2018-01-21,0.16875,0.0,0.16875,0.275,0.0
2018-01-28,0.10625,0.0,0.10625,0.175,0.0
2018-02-04,0.0,0.10625,0.16875,0.275,0.0
2018-02-11,0.16875,0.0,0.10625,0.16875,0.16875
2018-02-18,0.35,0.28125,0.0,0.10625,0.0
2018-02-25,0.1625,0.10625,0.1625,0.0,0.1625
2018-03-04,0.16875,0.0,0.20625,0.20625,0.10625
2018-03-11,0.0,0.0,0.0,0.0,0.0
2018-03-18,0.16875,0.175,0.175,0.10625,0.0
2018-03-25,0.0,0.0,0.0,0.175,0.0
2018-04-01,0.0,0.175,0.1125,0.175,0.1125
2018-04-08,0.0,0.26875,0.2125,0.1625,0.375
2018-04-15,0.1875,0.0,0.0,0.1875,0.28125
2018-04-22,0.0,0.175,0.0,0.2875,0.2875
2018-04-29,0.16875,0.0,0.10625,0.10625,0.4875
2018-05-06,0.0,0.1125,0.0,0.0,0.39375
2018-05-13,0.16875,0.0,0.16875,0.0,0.10625
2018-05-20,0.2875,0.175,0.175,0.1125,0.625
2018-05-27,0.16875,0.275,0.16875,0.3375,0.0
2018-06-03,0.10625,0.0,0.0,0.275,0.3875
2018-06-10,0.2625,0.1625,0.0,0.1625,0.2625
2018-06-17,0.175,0.175,0.175,0.1125,0.40625
2018-06-24,0.28125,0.1125,0.0,0.2875,0.425
2018-07-01,0.3875,0.16875,0.0,0.0,0.65625
2018-07-08,0.3875,0.1625,0.0,0.325,0.26875
2018-07-15,0.2875,0.16875,0.1625,0.2875,0.1625
2018-07-22,0.39375,0.0,0.0,0.0,0.45625
2018-07-29,0.71875,0.28125,0.4375,0.11875,0.68125
2018-08-05,0.475,0.3,0.15,0.11875,0.38125
2018-08-12,0.0,0.15625,0.11875,0.11875,0.15625
2018-08-19,0.1625,0.0,0.1625,0.1625,0.0
2018-08-26,0.1625,0.1625,0.0,0.0,0.0
2018-09-02,0.16875,0.16875,0.0,0.39375,0.0
2018-09-09,0.34375,0.16875,0.28125,0.16875,0.0
2018-09-16,0.4625,0.175,0.375,0.0,0.0
2018-09-23,0.2875,0.0,0.1125,0.18125,0.175
2018-09-30,0.175,0.0,0.1125,0.1125,0.0
2018-10-07,0.175,0.175,0.0,0.2875,0.0
2018-10-14,0.45625,0.0,0.175,0.2875,0.1125
2018-10-21,0.0,0.0,0.0,0.1125,0.1125
2018-10-28,0.1125,0.0,0.1125,0.16875,0.2875
2018-11-04,0.16875,0.16875,0.0,0.0,0.0
2018-11-11,0.175,0.175,0.2875,0.0,0.0
2018-11-18,0.28125,0.0,0.25625,0.175,0.0
2018-11-25,0.28125,0.175,0.4625,0.18125,0.0
2018-12-02,0.0,0.0,0.10625,0.10625,0.0
2018-12-09,0.0,0.18125,0.2875,0.18125,0.10625
2018-12-16,0.0,0.0,0.18125,0.1875,0.1125
2018-12-23,0.20625,0.0,0.0,0.20625,0.0
2018-12-30,0.0,0.0,0.0,0.0,0.0
2019-01-06,0.0,0.2875,0.2875,0.10625,0.18125
2019-01-13,0.28125,0.175,0.10625,0.0,0.175
2019-01-20,0.23125,0.175,0.375,0.0,0.0
2019-01-27,0.3375,0.26875,0.1,0.0,0.0
2019-02-03,0.35,0.28125,0.28125,0.175,0.28125
2019-02-10,0.175,0.10625,0.175,0.175,0.0
2019-02-17,0.175,0.0,0.35,0.1125,0.0
2019-02-24,0.16875,0.1875,0.29375,0.0,0.18125
2019-03-03,0.0,0.0,0.18125,0.0,0.0
2019-03-10,0.2875,0.10625,0.10625,0.46875,0.21875
2019-03-17,0.10625,0.18125,0.10625,0.18125,0.18125
2019-03-24,0.18125,0.0,0.10625,0.2875,0.56875
2019-03-31,0.10625,0.0,0.10625,0.175,0.0
2019-04-07,0.175,0.0,0.3875,0.175,0.175
2019-04-14,0.0,0.0,0.0,0.16875,0.36875
2019-04-21,0.16875,0.26875,0.2,0.0,0.26875
2019-04-28,0.4625,0.0,0.2875,0.175,0.4625
2019-05-05,0.35625,0.16875,0.0,0.0,0.10625
2019-05-12,0.16875,0.10625,0.0,0.16875,0.0
2019-05-19,0.1,0.1,0.0,0.0,0.2
2019-05-26,0.16875,0.10625,0.10625,0.10625,0.275
2019-06-02,0.2625,0.1625,0.26875,0.0,0.63125
2019-06-09,0.2625,0.2625,0.1625,0.1,0.3625
2019-06-16,0.49375,0.0,0.44375,0.16875,0.26875
2019-06-23,0.65,0.275,0.10625,0.16875,0.59375
2019-06-30,0.4875,0.31875,0.2125,0.325,0.375
2019-07-07,0.4125,0.15625,0.15625,0.2625,0.41875
2019-07-14,0.0,0.3125,0.0,0.10625,0.41875
2019-07-21,1.0,0.15,0.15,0.25625,0.33125
2019-07-28,0.0,0.14375,0.15,0.0,0.30625
2019-08-04,0.39375,0.0,0.14375,0.0,0.25
2019-08-11,0.3875,0.24375,0.14375,0.14375,0.30625
2019-08-18,0.2375,0.1375,0.1375,0.0,0.2375
2019-08-25,0.13125,0.2375,0.0,0.0,0.13125
2019-09-01,0.1,0.15625,0.25625,0.1,0.15625
2019-09-08,0.24375,0.0,0.0,0.35,0.0
2019-09-15,0.25625,0.0,0.25,0.15625,0.15625
2019-09-22,0.15625,0.1,0.15625,0.25625,0.0
2019-09-29,0.30625,0.0,0.25,0.25,0.09375
2019-10-06,0.15625,0.0,0.0875,0.3,0.25
2019-10-13,0.15625,0.15625,0.15625,0.15625,0.3125
2019-10-20,0.15,0.0,0.0,0.0,0.13125
2019-10-27,0.0,0.24375,0.15625,0.0,0.15625
2019-11-03,0.4625,0.09375,0.0,0.0,0.09375
2019-11-10,0.0,0.0875,0.15625,0.0,0.0
2019-11-17,0.15,0.2375,0.16875,0.15625,0.15625
2019-11-24,0.08125,0.15,0.0,0.0,0.15625
2019-12-01,0.08125,0.0,0.2375,0.15625,0.15625
2019-12-08,0.0,0.15625,0.0,0.08125,0.08125
2019-12-15,0.2375,0.0,0.15625,0.0,0.1625
2019-12-22,0.175,0.09375,0.175,0.175,0.175
2019-12-29,0.0,0.1625,0.16875,0.25,0.0875
2020-01-05,0.15,0.15,0.0,0.15,0.15
2020-01-12,0.23125,0.0,0.14375,0.075,0.0
2020-01-19,0.225,0.0,0.225,0.15,0.0
2020-01-26,0.5375,0.23125,0.08125,0.3,0.15
2020-02-02,0.23125,0.0,0.125,0.15,0.08125
2020-02-09,0.56875,0.0,0.15625,0.08125,0.08125
2020-02-16,0.08125,0.0,0.16875,0.23125,0.23125
2020-02-23,0.1375,0.2125,0.2125,0.15,0.075
2020-03-01,0.1375,0.075,0.2125,0.2125,0.075
2020-03-08,0.14375,0.14375,0.0,0.14375,0.0
2020-03-15,0.06875,0.0,0.06875,0.2,0.25625
2020-03-22,0.11875,0.0,0.11875,0.0,0.11875
2020-03-29,0.0,0.0,0.0,0.06875,0.125
2020-04-05,0.33125,0.125,0.19375,0.06875,0.125
2020-04-12,0.125,0.19375,0.0,0.125,0.26875
2020-04-19,0.11875,0.0,0.11875,0.2375,0.11875
2020-04-26,0.06875,0.0,0.11875,0.13125,0.30625
2020-05-03,0.48125,0.1375,0.1375,0.21875,0.725
2020-05-10,0.23125,0.24375,0.11875,0.225,0.5375
2020-05-17,0.55625,0.0,0.275,0.075,0.59375
2020-05-24,0.41875,0.0,0.0,0.1125,0.425
2020-05-31,0.3,0.25,0.19375,0.125,0.43125
2020-06-07,0.475,0.0,0.25625,0.075,0.3625
2020-06-14,0.625,0.0,0.4875,0.3125,0.8
