date,pintar habitacion,instalar aire acondicionado,decorador,arreglar muebles,empresa de reformas,isPartial
2018-01-07,30,10,38,0,5,False
2018-01-14,42,15,33,8,12,False
2018-01-21,33,12,28,0,12,False
2018-01-28,48,10,33,7,16,False
2018-02-04,39,6,27,5,13,False
2018-02-11,42,17,32,5,15,False
2018-02-18,46,5,38,5,12,False
2018-02-25,59,22,41,5,18,False
2018-03-04,56,13,29,10,16,False
2018-03-11,31,5,22,7,11,False
2018-03-18,56,12,26,5,10,False
2018-03-25,48,11,22,6,11,False
2018-04-01,39,10,22,0,12,False
2018-04-08,30,14,24,5,17,False
2018-04-15,28,15,25,0,13,False
2018-04-22,40,27,23,5,8,False
2018-04-29,38,18,20,5,12,False
2018-05-06,24,21,22,6,26,False
2018-05-13,40,16,28,5,10,False
2018-05-20,56,13,29,7,15,False
2018-05-27,35,13,17,0,11,False
2018-06-03,57,17,25,5,13,False
2018-06-10,40,11,25,5,14,False
2018-06-17,37,57,22,5,10,False
2018-06-24,49,54,34,5,7,False
2018-07-01,65,41,27,5,20,False
2018-07-08,45,38,25,5,13,False
2018-07-15,43,27,24,8,14,False
2018-07-22,52,38,17,5,8,False
2018-07-29,43,66,17,5,9,False
2018-08-05,47,65,15,10,16,False
2018-08-12,54,27,29,5,13,False
2018-08-19,64,16,28,5,12,False
2018-08-26,64,25,27,15,14,False
2018-09-02,49,19,34,5,11,False
2018-09-09,44,15,26,5,18,False
2018-09-16,53,13,31,5,19,False
2018-09-23,51,11,27,7,21,False
2018-09-30,50,14,24,7,15,False
2018-10-07,38,10,27,0,12,False
2018-10-14,35,14,35,12,14,False
2018-10-21,35,6,21,5,13,False
2018-10-28,42,15,32,5,17,False
2018-11-04,37,9,32,9,25,False
2018-11-11,40,17,27,5,19,False
2018-11-18,34,8,26,9,15,False
2018-11-25,37,10,43,5,8,False
2018-12-02,32,8,23,5,20,False
2018-12-09,23,0,28,5,15,False
2018-12-16,20,15,20,5,17,False
2018-12-23,25,6,34,6,15,False
2018-12-30,25,19,20,5,18,False
2019-01-06,30,16,13,0,11,False
2019-01-13,47,11,41,6,13,False
2019-01-20,18,16,31,5,16,False
2019-01-27,36,9,27,9,20,False
2019-02-03,45,11,37,5,21,False
2019-02-10,40,14,36,5,21,False
2019-02-17,41,13,33,5,21,False
2019-02-24,47,16,36,5,9,False
2019-03-03,44,12,32,5,6,False
2019-03-10,44,20,25,5,17,False
2019-03-17,39,11,46,10,15,False
2019-03-24,26,13,50,10,18,False
2019-03-31,34,17,29,5,11,False
2019-04-07,34,14,40,5,22,False
2019-04-14,35,12,22,0,15,False
2019-04-21,38,11,19,5,14,False
2019-04-28,44,27,19,0,14,False
2019-05-05,36,26,25,5,25,False
2019-05-12,20,16,23,6,17,False
2019-05-19,39,22,45,0,8,False
2019-05-26,31,32,32,9,18,False
2019-06-02,27,30,24,7,16,False
2019-06-09,38,21,20,5,27,False
2019-06-16,27,24,22,10,19,False
2019-06-23,39,84,21,0,15,False
2019-06-30,37,100,29,5,18,False
2019-07-07,43,50,25,5,17,False
2019-07-14,33,36,18,5,16,False
2019-07-21,49,57,29,8,10,False
2019-07-28,46,19,29,8,8,False
2019-08-04,58,41,31,5,10,False
2019-08-11,52,21,27,8,24,False
2019-08-18,50,18,20,0,20,False
2019-08-25,30,13,19,14,19,False
2019-09-01,36,15,30,5,17,False
2019-09-08,41,7,30,4,16,False
2019-09-15,40,18,22,4,19,False
2019-09-22,24,9,28,9,15,False
2019-09-29,19,9,41,4,10,False
2019-10-06,31,12,28,9,12,False
2019-10-13,30,9,22,4,19,False
2019-10-20,30,11,33,7,17,False
2019-10-27,35,19,33,7,22,False
2019-11-03,47,8,28,6,17,False
2019-11-10,21,13,23,9,14,False
2019-11-17,37,8,28,9,21,False
2019-11-24,17,10,25,0,12,False
2019-12-01,23,7,29,4,16,False
2019-12-08,24,9,18,4,9,False
2019-12-15,26,13,19,4,11,False
2019-12-22,19,10,32,5,18,False
2019-12-29,21,12,16,0,11,False
2020-01-05,38,16,29,4,17,False
2020-01-12,22,11,28,8,8,False
2020-01-19,27,15,29,4,20,False
2020-01-26,32,8,33,4,19,False
2020-02-02,29,15,37,4,28,False
2020-02-09,32,12,38,4,23,False
2020-02-16,28,8,32,8,19,False
2020-02-23,45,13,27,4,18,False
2020-03-01,30,13,22,16,14,False
2020-03-08,28,8,22,4,12,False
2020-03-15,33,8,11,0,13,False
2020-03-22,54,7,19,4,5,False
2020-03-29,40,0,15,4,9,False
2020-04-05,51,13,16,9,9,False
2020-04-12,40,13,22,5,11,False
2020-04-19,53,7,18,5,7,False
2020-04-26,54,15,23,5,14,False
2020-05-03,48,33,20,5,19,False
2020-05-10,38,16,27,7,17,False
2020-05-17,56,32,22,4,11,False
2020-05-24,56,53,30,8,11,False
2020-05-31,51,58,25,4,11,False
2020-06-07,47,22,40,4,20,False
2020-06-14,55,36,23,14,27,True
