date,Aria Condizionata,Imbianchino,Installazione zanzariera,Sgombero cantine e soffitte
2018-01-01,0.0,12.5,6.25,0.0
2018-02-01,18.75,6.25,0.0,0.0
2018-03-01,18.75,6.25,0.0,0.0
2018-04-01,18.75,43.75,50.0,6.25
2018-05-01,31.25,50.0,12.5,6.25
2018-06-01,50.0,56.25,25.0,0.0
2018-07-01,25.0,37.5,18.75,0.0
2018-08-01,43.75,12.5,6.25,0.0
2018-09-01,12.5,37.5,6.25,6.25
2018-10-01,12.5,18.75,0.0,6.25
2018-11-01,12.5,6.25,12.5,0.0
2018-12-01,0.0,6.25,0.0,0.0
2019-01-01,6.25,25.0,0.0,0.0
2019-02-01,0.0,12.5,6.25,0.0
2019-03-01,31.25,25.0,25.0,0.0
2019-04-01,12.5,37.5,6.25,0.0
2019-05-01,25.0,25.0,6.25,6.25
2019-06-01,93.75,50.0,43.75,0.0
2019-07-01,100.0,6.25,12.5,0.0
2019-08-01,18.75,18.75,12.5,6.25
2019-09-01,31.25,37.5,0.0,25.0
2019-10-01,12.5,43.75,0.0,6.25
2019-11-01,31.25,6.25,0.0,6.25
2019-12-01,31.25,25.0,0.0,0.0
2020-01-01,50.0,31.25,0.0,0.0
2020-02-01,31.25,50.0,0.0,6.25
2020-03-01,0.0,31.25,12.5,0.0
2020-04-01,18.75,43.75,12.5,0.0
2020-05-01,56.25,75.0,68.75,12.5
2020-06-01,50.0,25.0,0.0,0.0
