geoName,geoCode,pintar habitacion,instalar aire acondicionado,decorador,arreglar muebles,empresa de reformas
Andalusia,ES-AN,45,26,20,5,4
Aragon,ES-AR,43,31,26,0,0
Asturias,ES-AS,92,0,8,0,0
Balearic Islands,ES-IB,38,47,15,0,0
Basque Country,ES-PV,53,14,33,0,0
Canary Islands,ES-CN,27,33,18,0,22
Cantabria,ES-CB,78,0,22,0,0
Castile and León,ES-CL,62,18,12,0,8
Castile-La Mancha,ES-CM,55,16,20,0,9
Catalonia,ES-CT,47,24,18,0,11
Ceuta,ES-CE,0,0,0,0,0
Community of Madrid,ES-MD,43,21,21,1,14
Extremadura,ES-EX,0,0,0,0,0
Galicia,ES-GA,54,14,18,0,14
La Rioja,ES-RI,0,0,0,0,0
Melilla,ES-ML,0,0,0,0,0
Navarre,ES-NC,45,16,39,0,0
Region of Murcia,ES-MC,35,41,24,0,0
Valencian Community,ES-VC,40,14,34,0,12
