date,Installation climatisation,reparation volet,travaux rénovation,artisan peintre,moustiquaire lit,isPartial
2018-01-07,10,15,15,10,0,False
2018-01-14,10,20,34,10,15,False
2018-01-21,0,0,15,10,20,False
2018-01-28,0,10,39,20,10,False
2018-02-04,0,10,0,10,10,False
2018-02-11,0,20,35,10,10,False
2018-02-18,11,31,32,21,11,False
2018-02-25,36,0,41,10,16,False
2018-03-04,10,0,10,20,10,False
2018-03-11,10,20,20,10,10,False
2018-03-18,10,10,10,10,20,False
2018-03-25,0,10,20,0,30,False
2018-04-01,16,21,31,0,21,False
2018-04-08,0,10,20,10,25,False
2018-04-15,43,32,16,11,43,False
2018-04-22,21,21,21,10,16,False
2018-04-29,10,21,15,10,26,False
2018-05-06,22,0,11,11,43,False
2018-05-13,20,30,15,20,20,False
2018-05-20,15,10,10,10,50,False
2018-05-27,15,10,10,10,39,False
2018-06-03,20,0,44,20,44,False
2018-06-10,0,19,38,9,24,False
2018-06-17,10,14,14,10,38,False
2018-06-24,49,15,20,20,20,False
2018-07-01,62,19,10,10,86,False
2018-07-08,15,15,0,0,82,False
2018-07-15,22,17,16,11,38,False
2018-07-22,45,23,22,17,62,False
2018-07-29,94,24,29,24,100,False
2018-08-05,49,12,18,12,43,False
2018-08-12,38,0,19,13,38,False
2018-08-19,12,12,18,12,23,False
2018-08-26,21,11,26,11,26,False
2018-09-02,10,10,35,15,10,False
2018-09-09,10,0,10,10,29,False
2018-09-16,10,0,15,10,19,False
2018-09-23,0,0,30,30,10,False
2018-09-30,10,19,19,10,10,False
2018-10-07,10,10,24,10,0,False
2018-10-14,9,9,28,0,19,False
2018-10-21,0,19,19,10,19,False
2018-10-28,0,26,15,10,31,False
2018-11-04,19,15,10,10,19,False
2018-11-11,9,9,23,14,9,False
2018-11-18,10,0,19,0,0,False
2018-11-25,10,20,15,10,20,False
2018-12-02,10,0,19,10,10,False
2018-12-09,15,0,10,20,30,False
2018-12-16,10,0,15,0,0,False
2018-12-23,0,12,25,0,0,False
2018-12-30,23,11,23,11,11,False
2019-01-06,10,10,10,30,10,False
2019-01-13,20,10,20,29,10,False
2019-01-20,14,0,19,0,29,False
2019-01-27,10,10,14,0,0,False
2019-02-03,18,14,18,9,27,False
2019-02-10,19,19,19,10,0,False
2019-02-17,10,10,29,10,10,False
2019-02-24,20,10,25,20,15,False
2019-03-03,29,20,10,15,20,False
2019-03-10,10,15,49,10,49,False
2019-03-17,10,0,25,10,10,False
2019-03-24,42,20,31,10,21,False
2019-03-31,10,20,20,20,20,False
2019-04-07,0,10,41,10,42,False
2019-04-14,11,0,47,11,32,False
2019-04-21,28,11,28,22,28,False
2019-04-28,27,11,11,16,22,False
2019-05-05,16,32,32,27,27,False
2019-05-12,10,10,31,10,26,False
2019-05-19,0,21,31,20,36,False
2019-05-26,27,21,16,21,21,False
2019-06-02,28,10,19,9,56,False
2019-06-09,10,10,31,10,36,False
2019-06-16,41,0,15,10,62,False
2019-06-23,83,10,15,0,77,False
2019-06-30,41,0,21,31,67,False
2019-07-07,11,11,16,16,53,False
2019-07-14,23,11,45,11,45,False
2019-07-21,59,24,24,12,65,False
2019-07-28,12,12,12,12,31,False
2019-08-04,13,13,0,13,46,False
2019-08-11,21,0,14,14,28,False
2019-08-18,0,26,20,26,33,False
2019-08-25,34,11,28,11,40,False
2019-09-01,10,10,10,0,10,False
2019-09-08,10,20,15,0,10,False
2019-09-15,50,29,20,10,30,False
2019-09-22,24,0,29,39,15,False
2019-09-29,19,19,34,10,34,False
2019-10-06,10,10,30,15,10,False
2019-10-13,20,20,10,0,10,False
2019-10-20,10,10,15,20,30,False
2019-10-27,21,0,21,10,0,False
2019-11-03,10,29,19,10,10,False
2019-11-10,25,20,25,10,0,False
2019-11-17,10,10,39,15,20,False
2019-11-24,10,10,24,19,10,False
2019-12-01,9,9,19,0,14,False
2019-12-08,10,10,19,9,29,False
2019-12-15,0,20,20,10,0,False
2019-12-22,12,0,24,12,24,False
2019-12-29,11,11,17,33,0,False
2020-01-05,14,0,28,9,9,False
2020-01-12,0,19,33,19,0,False
2020-01-19,24,10,29,10,0,False
2020-01-26,14,9,23,19,23,False
2020-02-02,47,14,38,19,9,False
2020-02-09,10,14,39,19,19,False
2020-02-16,20,15,20,15,15,False
2020-02-23,0,9,14,14,14,False
2020-03-01,14,14,9,28,18,False
2020-03-08,14,9,36,14,27,False
2020-03-15,19,10,24,19,0,False
2020-03-22,10,0,0,0,19,False
2020-03-29,10,0,10,0,10,False
2020-04-05,10,10,19,0,24,False
2020-04-12,15,10,30,15,40,False
2020-04-19,9,10,33,9,14,False
2020-04-26,9,19,9,14,23,False
2020-05-03,18,18,41,9,45,False
2020-05-10,23,19,38,19,9,False
2020-05-17,73,29,20,20,54,False
2020-05-24,37,18,42,14,65,False
2020-05-31,36,27,36,22,53,False
2020-06-07,0,18,50,14,18,False
2020-06-14,21,64,43,21,64,True
