geoName,geoCode,jardiner
Brittany,FR-E,52.112676056338024
Centre-Val de Loire,FR-F,63.38028169014085
Corsica,FR-H,26.76056338028169
Pays de la Loire,FR-R,80.28169014084507
Provence-Alpes-Côte d'Azur,FR-U,19.718309859154928
Île-de-France,FR-J,12.676056338028168
Grand-est,FR-GE,54.929577464788736
Hauts-de-france,FR-HF,41.54929577464789
Normandie,FR-NO,60.56338028169014
Bourgogne-Franche-Comté,FR-BFC,83.80281690140845
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,59.859154929577464
Auvergne-Rhône-Alpes,FR-AR,96.47887323943662
