geoName,geoCode,Reihenhaus
Baden-Württemberg,DE-BW,31
Bavaria,DE-BY,33
Berlin,DE-BE,35
Brandenburg,DE-BB,32
Bremen,DE-HB,100
Hamburg,DE-HH,77
Hesse,DE-HE,28
Lower Saxony,DE-NI,43
Mecklenburg-Vorpommern,DE-MV,29
North Rhine-Westphalia,DE-NW,36
Rhineland-Palatinate,DE-RP,26
Saarland,DE-SL,15
Saxony,DE-SN,20
Saxony-Anhalt,DE-ST,17
Schleswig-Holstein,DE-SH,72
Thuringia,DE-TH,14
