date,Reihenhaus,isPartial
2018-01-07,60,False
2018-01-14,54,False
2018-01-21,40,False
2018-01-28,33,False
2018-02-04,63,False
2018-02-11,33,False
2018-02-18,53,False
2018-02-25,40,False
2018-03-04,45,False
2018-03-11,33,False
2018-03-18,72,False
2018-03-25,78,False
2018-04-01,45,False
2018-04-08,49,False
2018-04-15,42,False
2018-04-22,34,False
2018-04-29,49,False
2018-05-06,81,False
2018-05-13,55,False
2018-05-20,73,False
2018-05-27,34,False
2018-06-03,27,False
2018-06-10,33,False
2018-06-17,47,False
2018-06-24,28,False
2018-07-01,56,False
2018-07-08,86,False
2018-07-15,46,False
2018-07-22,32,False
2018-07-29,32,False
2018-08-05,100,False
2018-08-12,62,False
2018-08-19,43,False
2018-08-26,77,False
2018-09-02,76,False
2018-09-09,52,False
2018-09-16,62,False
2018-09-23,56,False
2018-09-30,43,False
2018-10-07,58,False
2018-10-14,35,False
2018-10-21,72,False
2018-10-28,73,False
2018-11-04,52,False
2018-11-11,31,False
2018-11-18,33,False
2018-11-25,40,False
2018-12-02,61,False
2018-12-09,41,False
2018-12-16,44,False
2018-12-23,37,False
2018-12-30,70,False
2019-01-06,45,False
2019-01-13,34,False
2019-01-20,42,False
2019-01-27,47,False
2019-02-03,31,False
2019-02-10,30,False
2019-02-17,46,False
2019-02-24,39,False
2019-03-03,70,False
2019-03-10,59,False
2019-03-17,33,False
2019-03-24,50,False
2019-03-31,47,False
2019-04-07,64,False
2019-04-14,53,False
2019-04-21,75,False
2019-04-28,93,False
2019-05-05,26,False
2019-05-12,33,False
2019-05-19,46,False
2019-05-26,63,False
2019-06-02,29,False
2019-06-09,61,False
2019-06-16,54,False
2019-06-23,42,False
2019-06-30,21,False
2019-07-07,40,False
2019-07-14,42,False
2019-07-21,43,False
2019-07-28,62,False
2019-08-04,28,False
2019-08-11,40,False
2019-08-18,33,False
2019-08-25,25,False
2019-09-01,56,False
2019-09-08,60,False
2019-09-15,39,False
2019-09-22,49,False
2019-09-29,65,False
2019-10-06,49,False
2019-10-13,52,False
2019-10-20,57,False
2019-10-27,62,False
2019-11-03,49,False
2019-11-10,57,False
2019-11-17,38,False
2019-11-24,64,False
2019-12-01,40,False
2019-12-08,44,False
2019-12-15,53,False
2019-12-22,88,False
2019-12-29,61,False
2020-01-05,58,False
2020-01-12,36,False
2020-01-19,43,False
2020-01-26,49,False
2020-02-02,38,False
2020-02-09,22,False
2020-02-16,37,False
2020-02-23,52,False
2020-03-01,51,False
2020-03-08,16,False
2020-03-15,34,False
2020-03-22,29,False
2020-03-29,40,False
2020-04-05,77,False
2020-04-12,69,False
2020-04-19,42,False
2020-04-26,57,False
2020-05-03,95,False
2020-05-10,64,False
