geoName,geoCode,Bauunternehmen
Baden-Württemberg,DE-BW,58
Bavaria,DE-BY,59
Berlin,DE-BE,26
Brandenburg,DE-BB,40
Bremen,DE-HB,64
Hamburg,DE-HH,43
Hesse,DE-HE,52
Lower Saxony,DE-NI,100
Mecklenburg-Vorpommern,DE-MV,56
North Rhine-Westphalia,DE-NW,52
Rhineland-Palatinate,DE-RP,60
Saarland,DE-SL,68
Saxony,DE-SN,40
Saxony-Anhalt,DE-ST,49
Schleswig-Holstein,DE-SH,59
Thuringia,DE-TH,64
