geoName,geoCode,Hochzeitsfotos
Baden-Württemberg,DE-BW,27
Bavaria,DE-BY,85
Berlin,DE-BE,36
Brandenburg,DE-BB,56
Bremen,DE-HB,64
Hamburg,DE-HH,53
Hesse,DE-HE,58
Lower Saxony,DE-NI,38
Mecklenburg-Vorpommern,DE-MV,36
North Rhine-Westphalia,DE-NW,55
Rhineland-Palatinate,DE-RP,42
Saarland,DE-SL,100
Saxony,DE-SN,54
Saxony-Anhalt,DE-ST,41
Schleswig-Holstein,DE-SH,49
Thuringia,DE-TH,94
