geoName,geoCode,fiorista
Abruzzo,IT-65,11
Aosta,IT-23,0
Apulia,IT-75,7
Basilicata,IT-77,0
Calabria,IT-78,4
Campania,IT-72,7
Emilia-Romagna,IT-45,64
Friuli-Venezia Giulia,IT-36,15
Lazio,IT-62,7
Liguria,IT-42,51
Lombardy,IT-25,100
Marche,IT-57,6
Molise,IT-67,12
Piedmont,IT-21,28
Sardinia,IT-88,7
Sicily,IT-82,6
Trentino-Alto Adige/South Tyrol,IT-32,12
Tuscany,IT-52,17
Umbria,IT-55,7
Veneto,IT-34,26
