,geoName,math exercice
3,Brittany,50.0
5,Centre-Val de Loire,50.0
7,Corsica,100.0
15,Pays de la Loire,43.0
18,Provence-Alpes-Côte d'Azur,66.0
21,Île-de-France,47.0
22,Grand-est,58.666666666666664
23,Hauts-de-france,62.0
24,Normandie,65.5
25,Bourgogne-Franche-Comté,69.0
26,Nouvelle-Aquitaine,48.0
27,Occitanie,53.0
28,Auvergne-Rhône-Alpes,47.0
