geoName,geoCode,Fenster streichen
Baden-Württemberg,DE-BW,76
Bavaria,DE-BY,60
Berlin,DE-BE,57
Brandenburg,DE-BB,46
Bremen,DE-HB,0
Hamburg,DE-HH,100
Hesse,DE-HE,36
Lower Saxony,DE-NI,89
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,39
Rhineland-Palatinate,DE-RP,77
Saarland,DE-SL,0
Saxony,DE-SN,60
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,40
Thuringia,DE-TH,0
