geoName,geoCode,Rollrasen
Burgenland,AT-1,100
Carinthia,AT-2,29
Lower Austria,AT-3,56
Salzburg,AT-5,25
Styria,AT-6,38
Tyrol,AT-7,40
Upper Austria,AT-4,20
Vienna,AT-9,32
Vorarlberg,AT-8,34
