geoName,geoCode,Räumung
Baden-Württemberg,DE-BW,64
Bavaria,DE-BY,40
Berlin,DE-BE,73
Brandenburg,DE-BB,44
Bremen,DE-HB,0
Hamburg,DE-HH,67
Hesse,DE-HE,66
Lower Saxony,DE-NI,75
Mecklenburg-Vorpommern,DE-MV,37
North Rhine-Westphalia,DE-NW,69
Rhineland-Palatinate,DE-RP,62
Saarland,DE-SL,75
Saxony,DE-SN,85
Saxony-Anhalt,DE-ST,82
Schleswig-Holstein,DE-SH,65
Thuringia,DE-TH,100
