geoName,geoCode,Rollos
Burgenland,AT-1,100
Carinthia,AT-2,94
Lower Austria,AT-3,80
Salzburg,AT-5,69
Styria,AT-6,80
Tyrol,AT-7,77
Upper Austria,AT-4,77
Vienna,AT-9,89
Vorarlberg,AT-8,86
