geoName,geoCode,Mosaikfliesen
Baden-Württemberg,DE-BW,46
Bavaria,DE-BY,56
Berlin,DE-BE,54
Brandenburg,DE-BB,71
Bremen,DE-HB,48
Hamburg,DE-HH,75
Hesse,DE-HE,55
Lower Saxony,DE-NI,52
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,72
Rhineland-Palatinate,DE-RP,69
Saarland,DE-SL,99
Saxony,DE-SN,48
Saxony-Anhalt,DE-ST,67
Schleswig-Holstein,DE-SH,60
Thuringia,DE-TH,88
