,geoName,déménagement maison
3,Brittany,32.99999999999999
5,Centre-Val de Loire,0.0
7,Corsica,0.0
15,Pays de la Loire,0.0
18,Provence-Alpes-Côte d'Azur,32.99999999999999
21,Île-de-France,32.99999999999999
22,Grand-est,0.0
23,Hauts-de-france,22.499999999999996
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,100.0
27,Occitanie,0.0
28,Auvergne-Rhône-Alpes,10.5
