geoName,geoCode,Dj
Abruzzo,IT-65,89
Aosta,IT-23,74
Apulia,IT-75,93
Basilicata,IT-77,77
Calabria,IT-78,73
Campania,IT-72,73
Emilia-Romagna,IT-45,98
Friuli-Venezia Giulia,IT-36,99
Lazio,IT-62,76
Liguria,IT-42,85
Lombardy,IT-25,89
Marche,IT-57,85
Molise,IT-67,70
Piedmont,IT-21,88
Sardinia,IT-88,93
Sicily,IT-82,78
Trentino-Alto Adige/South Tyrol,IT-32,87
Tuscany,IT-52,93
Umbria,IT-55,85
Veneto,IT-34,100
