geoName,geoCode,Dj
Andalusia,ES-AN,72
Aragon,ES-AR,94
Asturias,ES-AS,59
Balearic Islands,ES-IB,96
Basque Country,ES-PV,67
Canary Islands,ES-CN,82
Cantabria,ES-CB,73
Castile and León,ES-CL,74
Castile-La Mancha,ES-CM,93
Catalonia,ES-CT,89
Ceuta,ES-CE,53
Community of Madrid,ES-MD,80
Extremadura,ES-EX,74
Galicia,ES-GA,72
La Rioja,ES-RI,85
Melilla,ES-ML,55
Navarre,ES-NC,80
Region of Murcia,ES-MC,100
Valencian Community,ES-VC,82
