geoName,geoCode,dj
Abruzzo,IT-65,80
Aosta,IT-23,70
Apulia,IT-75,84
Basilicata,IT-77,65
Calabria,IT-78,63
Campania,IT-72,70
Emilia-Romagna,IT-45,94
Friuli-Venezia Giulia,IT-36,94
Lazio,IT-62,75
Liguria,IT-42,84
Lombardy,IT-25,85
Marche,IT-57,85
Molise,IT-67,82
Piedmont,IT-21,90
Sardinia,IT-88,89
Sicily,IT-82,77
Trentino-Alto Adige/South Tyrol,IT-32,85
Tuscany,IT-52,89
Umbria,IT-55,81
Veneto,IT-34,100
