date,Dj,isPartial
2018-01-07,54,False
2018-01-14,38,False
2018-01-21,15,False
2018-01-28,15,False
2018-02-04,30,False
2018-02-11,46,False
2018-02-18,32,False
2018-02-25,24,False
2018-03-04,47,False
2018-03-11,23,False
2018-03-18,45,False
2018-03-25,36,False
2018-04-01,15,False
2018-04-08,45,False
2018-04-15,31,False
2018-04-22,58,False
2018-04-29,46,False
2018-05-06,30,False
2018-05-13,31,False
2018-05-20,23,False
2018-05-27,37,False
2018-06-03,51,False
2018-06-10,36,False
2018-06-17,39,False
2018-06-24,60,False
2018-07-01,57,False
2018-07-08,69,False
2018-07-15,80,False
2018-07-22,53,False
2018-07-29,93,False
2018-08-05,37,False
2018-08-12,50,False
2018-08-19,51,False
2018-08-26,54,False
2018-09-02,35,False
2018-09-09,15,False
2018-09-16,15,False
2018-09-23,67,False
2018-09-30,15,False
2018-10-07,23,False
2018-10-14,15,False
2018-10-21,46,False
2018-10-28,47,False
2018-11-04,30,False
2018-11-11,23,False
2018-11-18,15,False
2018-11-25,53,False
2018-12-02,60,False
2018-12-09,76,False
2018-12-16,31,False
2018-12-23,17,False
2018-12-30,100,False
2019-01-06,45,False
2019-01-13,29,False
2019-01-20,14,False
2019-01-27,28,False
2019-02-03,60,False
2019-02-10,60,False
2019-02-17,45,False
2019-02-24,16,False
2019-03-03,38,False
2019-03-10,38,False
2019-03-17,37,False
2019-03-24,53,False
2019-03-31,37,False
2019-04-07,52,False
2019-04-14,82,False
2019-04-21,89,False
2019-04-28,14,False
2019-05-05,22,False
2019-05-12,36,False
2019-05-19,21,False
2019-05-26,28,False
2019-06-02,28,False
2019-06-09,28,False
2019-06-16,51,False
2019-06-23,36,False
2019-06-30,48,False
2019-07-07,40,False
2019-07-14,34,False
2019-07-21,88,False
2019-07-28,39,False
2019-08-04,77,False
2019-08-11,35,False
2019-08-18,58,False
2019-08-25,30,False
2019-09-01,39,False
2019-09-08,21,False
2019-09-15,54,False
2019-09-22,54,False
2019-09-29,54,False
2019-10-06,61,False
2019-10-13,20,False
2019-10-20,40,False
2019-10-27,82,False
2019-11-03,26,False
2019-11-10,20,False
2019-11-17,20,False
2019-11-24,51,False
2019-12-01,33,False
2019-12-08,67,False
2019-12-15,39,False
2019-12-22,36,False
2019-12-29,83,False
2020-01-05,20,False
2020-01-12,24,False
2020-01-19,38,False
2020-01-26,25,False
2020-02-02,38,False
2020-02-09,25,False
2020-02-16,70,False
2020-02-23,19,False
2020-03-01,30,False
2020-03-08,36,False
2020-03-15,61,False
2020-03-22,68,False
2020-03-29,52,False
2020-04-05,58,False
2020-04-12,38,True
