geoName,geoCode,pasticcini
Abruzzo,IT-65,26
Aosta,IT-23,0
Apulia,IT-75,65
Basilicata,IT-77,94
Calabria,IT-78,100
Campania,IT-72,48
Emilia-Romagna,IT-45,50
Friuli-Venezia Giulia,IT-36,39
Lazio,IT-62,42
Liguria,IT-42,51
Lombardy,IT-25,54
Marche,IT-57,24
Molise,IT-67,79
Piedmont,IT-21,88
Sardinia,IT-88,71
Sicily,IT-82,63
Trentino-Alto Adige/South Tyrol,IT-32,39
Tuscany,IT-52,40
Umbria,IT-55,23
Veneto,IT-34,59
