geoName,geoCode,sarti
Abruzzo,IT-65,46
Aosta,IT-23,0
Apulia,IT-75,38
Basilicata,IT-77,20
Calabria,IT-78,28
Campania,IT-72,23
Emilia-Romagna,IT-45,100
Friuli-Venezia Giulia,IT-36,44
Lazio,IT-62,43
Liguria,IT-42,35
Lombardy,IT-25,40
Marche,IT-57,51
Molise,IT-67,34
Piedmont,IT-21,44
Sardinia,IT-88,58
Sicily,IT-82,19
Trentino-Alto Adige/South Tyrol,IT-32,25
Tuscany,IT-52,61
Umbria,IT-55,29
Veneto,IT-34,47
