geoName,geoCode,tagli capelli
Abruzzo,IT-65,44
Aosta,IT-23,100
Apulia,IT-75,53
Basilicata,IT-77,68
Calabria,IT-78,64
Campania,IT-72,52
Emilia-Romagna,IT-45,58
Friuli-Venezia Giulia,IT-36,61
Lazio,IT-62,47
Liguria,IT-42,58
Lombardy,IT-25,52
Marche,IT-57,47
Molise,IT-67,26
Piedmont,IT-21,71
Sardinia,IT-88,61
Sicily,IT-82,69
Trentino-Alto Adige/South Tyrol,IT-32,34
Tuscany,IT-52,48
Umbria,IT-55,48
Veneto,IT-34,54
