date,Gerüst mieten,isPartial
2018-01-07,18,False
2018-01-14,53,False
2018-01-21,20,False
2018-01-28,36,False
2018-02-04,31,False
2018-02-11,41,False
2018-02-18,25,False
2018-02-25,36,False
2018-03-04,37,False
2018-03-11,49,False
2018-03-18,41,False
2018-03-25,43,False
2018-04-01,44,False
2018-04-08,50,False
2018-04-15,77,False
2018-04-22,66,False
2018-04-29,72,False
2018-05-06,48,False
2018-05-13,45,False
2018-05-20,48,False
2018-05-27,34,False
2018-06-03,46,False
2018-06-10,60,False
2018-06-17,61,False
2018-06-24,58,False
2018-07-01,53,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,55,False
2018-07-29,68,False
2018-08-05,76,False
2018-08-12,47,False
2018-08-19,47,False
2018-08-26,72,False
2018-09-02,42,False
2018-09-09,54,False
2018-09-16,45,False
2018-09-23,63,False
2018-09-30,45,False
2018-10-07,46,False
2018-10-14,49,False
2018-10-21,65,False
2018-10-28,36,False
2018-11-04,35,False
2018-11-11,24,False
2018-11-18,12,False
2018-11-25,24,False
2018-12-02,12,False
2018-12-09,16,False
2018-12-16,29,False
2018-12-23,42,False
2018-12-30,25,False
2019-01-06,30,False
2019-01-13,19,False
2019-01-20,45,False
2019-01-27,37,False
2019-02-03,27,False
2019-02-10,43,False
2019-02-17,70,False
2019-02-24,36,False
2019-03-03,50,False
2019-03-10,72,False
2019-03-17,56,False
2019-03-24,59,False
2019-03-31,65,False
2019-04-07,39,False
2019-04-14,51,False
2019-04-21,74,False
2019-04-28,42,False
2019-05-05,38,False
2019-05-12,71,False
2019-05-19,54,False
2019-05-26,48,False
2019-06-02,58,False
2019-06-09,40,False
2019-06-16,56,False
2019-06-23,56,False
2019-06-30,47,False
2019-07-07,50,False
2019-07-14,69,False
2019-07-21,42,False
2019-07-28,49,False
2019-08-04,50,False
2019-08-11,47,False
2019-08-18,72,False
2019-08-25,59,False
2019-09-01,50,False
2019-09-08,62,False
2019-09-15,51,False
2019-09-22,27,False
2019-09-29,42,False
2019-10-06,38,False
2019-10-13,45,False
2019-10-20,56,False
2019-10-27,29,False
2019-11-03,28,False
2019-11-10,40,False
2019-11-17,18,False
2019-11-24,36,False
2019-12-01,29,False
2019-12-08,51,False
2019-12-15,19,False
2019-12-22,38,False
2019-12-29,31,False
2020-01-05,21,False
2020-01-12,47,False
2020-01-19,31,False
2020-01-26,51,False
2020-02-02,31,False
2020-02-09,37,False
2020-02-16,66,False
2020-02-23,17,False
2020-03-01,23,False
2020-03-08,44,False
2020-03-15,53,False
2020-03-22,43,False
2020-03-29,40,False
2020-04-05,78,False
2020-04-12,85,False
2020-04-19,66,False
2020-04-26,74,False
2020-05-03,78,False
2020-05-10,100,False
