date,Stuckateur,isPartial
2018-01-07,69,False
2018-01-14,46,False
2018-01-21,47,False
2018-01-28,38,False
2018-02-04,58,False
2018-02-11,26,False
2018-02-18,66,False
2018-02-25,75,False
2018-03-04,38,False
2018-03-11,25,False
2018-03-18,48,False
2018-03-25,34,False
2018-04-01,50,False
2018-04-08,25,False
2018-04-15,49,False
2018-04-22,31,False
2018-04-29,39,False
2018-05-06,33,False
2018-05-13,31,False
2018-05-20,60,False
2018-05-27,38,False
2018-06-03,57,False
2018-06-10,43,False
2018-06-17,31,False
2018-06-24,70,False
2018-07-01,56,False
2018-07-08,43,False
2018-07-15,39,False
2018-07-22,20,False
2018-07-29,60,False
2018-08-05,40,False
2018-08-12,100,False
2018-08-19,39,False
2018-08-26,45,False
2018-09-02,38,False
2018-09-09,45,False
2018-09-16,83,False
2018-09-23,32,False
2018-09-30,45,False
2018-10-07,77,False
2018-10-14,26,False
2018-10-21,39,False
2018-10-28,25,False
2018-11-04,67,False
2018-11-11,25,False
2018-11-18,30,False
2018-11-25,37,False
2018-12-02,67,False
2018-12-09,55,False
2018-12-16,50,False
2018-12-23,36,False
2018-12-30,39,False
2019-01-06,35,False
2019-01-13,35,False
2019-01-20,52,False
2019-01-27,26,False
2019-02-03,47,False
2019-02-10,63,False
2019-02-17,36,False
2019-02-24,18,False
2019-03-03,36,False
2019-03-10,41,False
2019-03-17,31,False
2019-03-24,43,False
2019-03-31,53,False
2019-04-07,30,False
2019-04-14,58,False
2019-04-21,52,False
2019-04-28,83,False
2019-05-05,35,False
2019-05-12,55,False
2019-05-19,42,False
2019-05-26,46,False
2019-06-02,42,False
2019-06-09,64,False
2019-06-16,31,False
2019-06-23,18,False
2019-06-30,36,False
2019-07-07,30,False
2019-07-14,44,False
2019-07-21,51,False
2019-07-28,49,False
2019-08-04,50,False
2019-08-11,57,False
2019-08-18,44,False
2019-08-25,30,False
2019-09-01,24,False
2019-09-08,24,False
2019-09-15,64,False
2019-09-22,24,False
2019-09-29,18,False
2019-10-06,29,False
2019-10-13,53,False
2019-10-20,36,False
2019-10-27,23,False
2019-11-03,55,False
2019-11-10,45,False
2019-11-17,33,False
2019-11-24,49,False
2019-12-01,67,False
2019-12-08,39,False
2019-12-15,39,False
2019-12-22,39,False
2019-12-29,46,False
2020-01-05,65,False
2020-01-12,78,False
2020-01-19,49,False
2020-01-26,64,False
2020-02-02,37,False
2020-02-09,56,False
2020-02-16,16,False
2020-02-23,46,False
2020-03-01,54,False
2020-03-08,34,False
2020-03-15,39,False
2020-03-22,39,False
2020-03-29,43,False
2020-04-05,31,False
2020-04-12,70,False
2020-04-19,73,False
2020-04-26,33,False
2020-05-03,92,False
2020-05-10,29,False
