geoName,geoCode,Stuckateur
Baden-Württemberg,DE-BW,86
Bavaria,DE-BY,12
Berlin,DE-BE,14
Brandenburg,DE-BB,17
Bremen,DE-HB,0
Hamburg,DE-HH,15
Hesse,DE-HE,12
Lower Saxony,DE-NI,6
Mecklenburg-Vorpommern,DE-MV,9
North Rhine-Westphalia,DE-NW,18
Rhineland-Palatinate,DE-RP,34
Saarland,DE-SL,100
Saxony,DE-SN,14
Saxony-Anhalt,DE-ST,17
Schleswig-Holstein,DE-SH,16
Thuringia,DE-TH,14
