geoName,geoCode,Betonpflaster
Baden-Württemberg,DE-BW,18
Bavaria,DE-BY,48
Berlin,DE-BE,21
Brandenburg,DE-BB,88
Bremen,DE-HB,0
Hamburg,DE-HH,22
Hesse,DE-HE,20
Lower Saxony,DE-NI,41
Mecklenburg-Vorpommern,DE-MV,65
North Rhine-Westphalia,DE-NW,27
Rhineland-Palatinate,DE-RP,41
Saarland,DE-SL,0
Saxony,DE-SN,100
Saxony-Anhalt,DE-ST,40
Schleswig-Holstein,DE-SH,36
Thuringia,DE-TH,100
