geoName,geoCode,slideshow
Abruzzo,IT-65,50
Aosta,IT-23,0
Apulia,IT-75,39
Basilicata,IT-77,0
Calabria,IT-78,29
Campania,IT-72,42
Emilia-Romagna,IT-45,38
Friuli-Venezia Giulia,IT-36,32
Lazio,IT-62,44
Liguria,IT-42,26
Lombardy,IT-25,38
Marche,IT-57,46
Molise,IT-67,0
Piedmont,IT-21,47
Sardinia,IT-88,14
Sicily,IT-82,41
Trentino-Alto Adige/South Tyrol,IT-32,65
Tuscany,IT-52,30
Umbria,IT-55,100
Veneto,IT-34,28
