geoName,geoCode,store banne
Brittany,FR-E,86.0
Centre-Val de Loire,FR-F,85.0
Corsica,FR-H,70.0
Pays de la Loire,FR-R,100.0
Provence-Alpes-Côte d'Azur,FR-U,55.0
Île-de-France,FR-J,36.0
Grand-est,FR-GE,62.0
Hauts-de-france,FR-HF,72.0
Normandie,FR-NO,77.5
Bourgogne-Franche-Comté,FR-BFC,86.5
Nouvelle-Aquitaine,FR-NA,80.66666666666667
Occitanie,FR-OC,64.0
Auvergne-Rhône-Alpes,FR-AR,80.5
