date,store banne
2018-01-07,0.09
2018-01-14,0.035
2018-01-21,0.05
2018-01-28,0.09
2018-02-04,0.035
2018-02-11,0.09
2018-02-18,0.13
2018-02-25,0.125
2018-03-04,0.125
2018-03-11,0.17
2018-03-18,0.33
2018-03-25,0.175
2018-04-01,0.165
2018-04-08,0.275
2018-04-15,0.565
2018-04-22,0.41
2018-04-29,0.23
2018-05-06,0.675
2018-05-13,0.125
2018-05-20,0.38
2018-05-27,0.25
2018-06-03,0.27
2018-06-10,0.15
2018-06-17,0.2
2018-06-24,0.395
2018-07-01,0.41
2018-07-08,0.395
2018-07-15,0.375
2018-07-22,0.52
2018-07-29,0.44
2018-08-05,0.43
2018-08-12,0.29
2018-08-19,0.225
2018-08-26,0.165
2018-09-02,0.105
2018-09-09,0.095
2018-09-16,0.125
2018-09-23,0.11
2018-09-30,0.06
2018-10-07,0.205
2018-10-14,0.035
2018-10-21,0.135
2018-10-28,0.11
2018-11-04,0.035
2018-11-11,0.09
2018-11-18,0.03
2018-11-25,0.0
2018-12-02,0.09
2018-12-09,0.0
2018-12-16,0.0
2018-12-23,0.065
2018-12-30,0.095
2019-01-06,0.125
2019-01-13,0.155
2019-01-20,0.13
2019-01-27,0.1
2019-02-03,0.125
2019-02-10,0.195
2019-02-17,0.165
2019-02-24,0.21
2019-03-03,0.25
2019-03-10,0.165
2019-03-17,0.18
2019-03-24,0.37
2019-03-31,0.37
2019-04-07,0.25
2019-04-14,0.36
2019-04-21,0.415
2019-04-28,0.31
2019-05-05,0.275
2019-05-12,0.42
2019-05-19,0.26
2019-05-26,0.395
2019-06-02,0.345
2019-06-09,0.18
2019-06-16,0.405
2019-06-23,0.65
2019-06-30,0.535
2019-07-07,0.315
2019-07-14,0.26
2019-07-21,0.365
2019-07-28,0.3
2019-08-04,0.295
2019-08-11,0.225
2019-08-18,0.145
2019-08-25,0.245
2019-09-01,0.115
2019-09-08,0.09
2019-09-15,0.165
2019-09-22,0.135
2019-09-29,0.025
2019-10-06,0.11
2019-10-13,0.165
2019-10-20,0.08
2019-10-27,0.025
2019-11-03,0.16
2019-11-10,0.025
2019-11-17,0.08
2019-11-24,0.05
2019-12-01,0.08
2019-12-08,0.08
2019-12-15,0.08
2019-12-22,0.03
2019-12-29,0.055
2020-01-05,0.125
2020-01-12,0.025
2020-01-19,0.05
2020-01-26,0.05
2020-02-02,0.12
2020-02-09,0.1
2020-02-16,0.09
2020-02-23,0.145
2020-03-01,0.185
2020-03-08,0.1
2020-03-15,0.06
2020-03-22,0.17
2020-03-29,0.18
2020-04-05,0.625
2020-04-12,0.385
2020-04-19,0.455
2020-04-26,0.355
2020-05-03,0.475
2020-05-10,0.315
2020-05-17,0.84
2020-05-24,0.865
2020-05-31,1.0
2020-06-07,0.335
2020-06-14,0.395
2020-06-21,0.765
