date,store banne
2018-01-07,0.14659685863874344
2018-01-14,0.0
2018-01-21,0.14659685863874344
2018-01-28,0.06806282722513089
2018-02-04,0.06806282722513089
2018-02-11,0.07329842931937172
2018-02-18,0.18324607329842932
2018-02-25,0.2513089005235602
2018-03-04,0.18324607329842932
2018-03-11,0.2931937172774869
2018-03-18,0.31413612565445026
2018-03-25,0.14659685863874344
2018-04-01,0.2931937172774869
2018-04-08,0.2617801047120419
2018-04-15,0.5235602094240838
2018-04-22,0.5392670157068062
2018-04-29,0.23036649214659685
2018-05-06,0.5340314136125655
2018-05-13,0.3193717277486911
2018-05-20,0.5654450261780105
2018-05-27,0.3612565445026178
2018-06-03,0.4031413612565445
2018-06-10,0.387434554973822
2018-06-17,0.2617801047120419
2018-06-24,0.42408376963350786
2018-07-01,0.14136125654450263
2018-07-08,0.5340314136125655
2018-07-15,0.4083769633507853
2018-07-22,0.42408376963350786
2018-07-29,0.4607329842931937
2018-08-05,0.518324607329843
2018-08-12,0.21465968586387435
2018-08-19,0.19895287958115182
2018-08-26,0.11518324607329843
2018-09-02,0.1518324607329843
2018-09-09,0.1518324607329843
2018-09-16,0.18324607329842932
2018-09-23,0.17277486910994763
2018-09-30,0.07853403141361257
2018-10-07,0.07853403141361257
2018-10-14,0.1518324607329843
2018-10-21,0.1518324607329843
2018-10-28,0.14659685863874344
2018-11-04,0.14659685863874344
2018-11-11,0.14659685863874344
2018-11-18,0.14136125654450263
2018-11-25,0.07329842931937172
2018-12-02,0.07329842931937172
2018-12-09,0.07329842931937172
2018-12-16,0.07329842931937172
2018-12-23,0.0
2018-12-30,0.15706806282722513
2019-01-06,0.07329842931937172
2019-01-13,0.2198952879581152
2019-01-20,0.2094240837696335
2019-01-27,0.06806282722513089
2019-02-03,0.21465968586387435
2019-02-10,0.2670157068062827
2019-02-17,0.2356020942408377
2019-02-24,0.2774869109947644
2019-03-03,0.2094240837696335
2019-03-10,0.16753926701570682
2019-03-17,0.33507853403141363
2019-03-24,0.4869109947643979
2019-03-31,0.25654450261780104
2019-04-07,0.3403141361256545
2019-04-14,0.41361256544502617
2019-04-21,0.418848167539267
2019-04-28,0.34554973821989526
2019-05-05,0.2670157068062827
2019-05-12,0.24083769633507854
2019-05-19,0.35602094240837695
2019-05-26,0.39790575916230364
2019-06-02,0.5916230366492147
2019-06-09,0.2670157068062827
2019-06-16,0.3612565445026178
2019-06-23,0.5759162303664922
2019-06-30,0.41361256544502617
2019-07-07,0.3769633507853403
2019-07-14,0.24607329842931938
2019-07-21,0.2356020942408377
2019-07-28,0.2670157068062827
2019-08-04,0.32460732984293195
2019-08-11,0.25654450261780104
2019-08-18,0.2356020942408377
2019-08-25,0.2670157068062827
2019-09-01,0.34554973821989526
2019-09-08,0.06806282722513089
2019-09-15,0.13612565445026178
2019-09-22,0.193717277486911
2019-09-29,0.193717277486911
2019-10-06,0.06806282722513089
2019-10-13,0.16753926701570682
2019-10-20,0.2617801047120419
2019-10-27,0.18848167539267016
2019-11-03,0.0
2019-11-10,0.06282722513089005
2019-11-17,0.193717277486911
2019-11-24,0.06282722513089005
2019-12-01,0.193717277486911
2019-12-08,0.1256544502617801
2019-12-15,0.0
2019-12-22,0.13612565445026178
2019-12-29,0.0
2020-01-05,0.0
2020-01-12,0.09947643979057591
2020-01-19,0.18848167539267016
2020-01-26,0.1256544502617801
2020-02-02,0.23036649214659685
2020-02-09,0.15706806282722513
2020-02-16,0.16753926701570682
2020-02-23,0.1256544502617801
2020-03-01,0.24083769633507854
2020-03-08,0.2879581151832461
2020-03-15,0.15706806282722513
2020-03-22,0.25654450261780104
2020-03-29,0.2356020942408377
2020-04-05,0.6701570680628273
2020-04-12,0.581151832460733
2020-04-19,0.3193717277486911
2020-04-26,0.4397905759162304
2020-05-03,0.5759162303664922
2020-05-10,0.39267015706806285
2020-05-17,0.8167539267015707
2020-05-24,1.0
2020-05-31,0.8743455497382199
2020-06-07,0.5340314136125655
2020-06-14,0.2774869109947644
2020-06-21,0.9476439790575916
