date,feste di compleanno,isPartial
2018-01-07,86,False
2018-01-14,99,False
2018-01-21,81,False
2018-01-28,68,False
2018-02-04,61,False
2018-02-11,57,False
2018-02-18,51,False
2018-02-25,44,False
2018-03-04,79,False
2018-03-11,58,False
2018-03-18,50,False
2018-03-25,45,False
2018-04-01,43,False
2018-04-08,54,False
2018-04-15,50,False
2018-04-22,63,False
2018-04-29,50,False
2018-05-06,51,False
2018-05-13,51,False
2018-05-20,46,False
2018-05-27,33,False
2018-06-03,56,False
2018-06-10,57,False
2018-06-17,46,False
2018-06-24,49,False
2018-07-01,46,False
2018-07-08,51,False
2018-07-15,39,False
2018-07-22,44,False
2018-07-29,47,False
2018-08-05,46,False
2018-08-12,35,False
2018-08-19,79,False
2018-08-26,70,False
2018-09-02,100,False
2018-09-09,70,False
2018-09-16,100,False
2018-09-23,75,False
2018-09-30,73,False
2018-10-07,90,False
2018-10-14,71,False
2018-10-21,74,False
2018-10-28,61,False
2018-11-04,79,False
2018-11-11,64,False
2018-11-18,39,False
2018-11-25,46,False
2018-12-02,39,False
2018-12-09,34,False
2018-12-16,34,False
2018-12-23,40,False
2018-12-30,52,False
2019-01-06,100,False
2019-01-13,72,False
2019-01-20,48,False
2019-01-27,59,False
2019-02-03,53,False
2019-02-10,55,False
2019-02-17,63,False
2019-02-24,50,False
2019-03-03,48,False
2019-03-10,61,False
2019-03-17,39,False
2019-03-24,56,False
2019-03-31,44,False
2019-04-07,56,False
2019-04-14,38,False
2019-04-21,48,False
2019-04-28,58,False
2019-05-05,53,False
2019-05-12,52,False
2019-05-19,56,False
2019-05-26,54,False
2019-06-02,53,False
2019-06-09,40,False
2019-06-16,57,False
2019-06-23,52,False
2019-06-30,44,False
2019-07-07,55,False
2019-07-14,54,False
2019-07-21,47,False
2019-07-28,41,False
2019-08-04,56,False
2019-08-11,40,False
2019-08-18,45,False
2019-08-25,52,False
2019-09-01,85,False
2019-09-08,66,False
2019-09-15,72,False
2019-09-22,69,False
2019-09-29,77,False
2019-10-06,64,False
2019-10-13,73,False
2019-10-20,60,False
2019-10-27,54,False
2019-11-03,50,False
2019-11-10,65,False
2019-11-17,44,False
2019-11-24,44,False
2019-12-01,43,False
2019-12-08,33,False
2019-12-15,33,False
2019-12-22,38,False
2019-12-29,56,False
2020-01-05,61,False
2020-01-12,81,False
2020-01-19,71,False
2020-01-26,56,False
2020-02-02,60,False
2020-02-09,58,False
2020-02-16,59,False
2020-02-23,24,False
2020-03-01,45,False
2020-03-08,12,False
2020-03-15,8,False
2020-03-22,10,False
2020-03-29,10,False
2020-04-05,7,False
2020-04-12,9,False
2020-04-19,10,False
2020-04-26,18,True
