date,cheminee bois,isPartial
2018-01-07,56,False
2018-01-14,41,False
2018-01-21,50,False
2018-01-28,20,False
2018-02-04,38,False
2018-02-11,15,False
2018-02-18,49,False
2018-02-25,25,False
2018-03-04,36,False
2018-03-11,23,False
2018-03-18,32,False
2018-03-25,39,False
2018-04-01,22,False
2018-04-08,16,False
2018-04-15,33,False
2018-04-22,25,False
2018-04-29,27,False
2018-05-06,17,False
2018-05-13,21,False
2018-05-20,32,False
2018-05-27,15,False
2018-06-03,25,False
2018-06-10,20,False
2018-06-17,30,False
2018-06-24,23,False
2018-07-01,15,False
2018-07-08,21,False
2018-07-15,17,False
2018-07-22,17,False
2018-07-29,18,False
2018-08-05,76,False
2018-08-12,54,False
2018-08-19,47,False
2018-08-26,33,False
2018-09-02,42,False
2018-09-09,41,False
2018-09-16,45,False
2018-09-23,72,False
2018-09-30,56,False
2018-10-07,68,False
2018-10-14,29,False
2018-10-21,50,False
2018-10-28,87,False
2018-11-04,40,False
2018-11-11,87,False
2018-11-18,65,False
2018-11-25,41,False
2018-12-02,46,False
2018-12-09,57,False
2018-12-16,21,False
2018-12-23,58,False
2018-12-30,65,False
2019-01-06,21,False
2019-01-13,56,False
2019-01-20,85,False
2019-01-27,22,False
2019-02-03,29,False
2019-02-10,61,False
2019-02-17,31,False
2019-02-24,21,False
2019-03-03,30,False
2019-03-10,31,False
2019-03-17,31,False
2019-03-24,27,False
2019-03-31,21,False
2019-04-07,32,False
2019-04-14,27,False
2019-04-21,35,False
2019-04-28,34,False
2019-05-05,34,False
2019-05-12,27,False
2019-05-19,27,False
2019-05-26,42,False
2019-06-02,15,False
2019-06-09,27,False
2019-06-16,24,False
2019-06-23,27,False
2019-06-30,49,False
2019-07-07,25,False
2019-07-14,41,False
2019-07-21,65,False
2019-07-28,20,False
2019-08-04,34,False
2019-08-11,21,False
2019-08-18,34,False
2019-08-25,45,False
2019-09-01,32,False
2019-09-08,21,False
2019-09-15,31,False
2019-09-22,66,False
2019-09-29,55,False
2019-10-06,46,False
2019-10-13,36,False
2019-10-20,63,False
2019-10-27,38,False
2019-11-03,65,False
2019-11-10,41,False
2019-11-17,100,False
2019-11-24,40,False
2019-12-01,39,False
2019-12-08,29,False
2019-12-15,31,False
2019-12-22,56,False
2019-12-29,64,False
2020-01-05,44,False
2020-01-12,44,False
2020-01-19,51,False
2020-01-26,37,False
2020-02-02,60,False
2020-02-09,15,False
2020-02-16,31,False
2020-02-23,38,False
2020-03-01,38,False
2020-03-08,35,False
2020-03-15,0,False
2020-03-22,61,False
2020-03-29,30,False
2020-04-05,30,False
2020-04-12,31,False
2020-04-19,34,False
2020-04-26,14,False
2020-05-03,28,False
2020-05-10,34,False
2020-05-17,36,True
