date,Metallbau,isPartial
2018-01-07,68,False
2018-01-14,49,False
2018-01-21,64,False
2018-01-28,63,False
2018-02-04,55,False
2018-02-11,68,False
2018-02-18,80,False
2018-02-25,56,False
2018-03-04,62,False
2018-03-11,43,False
2018-03-18,35,False
2018-03-25,55,False
2018-04-01,32,False
2018-04-08,38,False
2018-04-15,100,False
2018-04-22,45,False
2018-04-29,50,False
2018-05-06,49,False
2018-05-13,75,False
2018-05-20,48,False
2018-05-27,29,False
2018-06-03,74,False
2018-06-10,75,False
2018-06-17,52,False
2018-06-24,41,False
2018-07-01,55,False
2018-07-08,69,False
2018-07-15,78,False
2018-07-22,62,False
2018-07-29,48,False
2018-08-05,55,False
2018-08-12,75,False
2018-08-19,57,False
2018-08-26,51,False
2018-09-02,54,False
2018-09-09,54,False
2018-09-16,42,False
2018-09-23,38,False
2018-09-30,89,False
2018-10-07,55,False
2018-10-14,33,False
2018-10-21,34,False
2018-10-28,46,False
2018-11-04,58,False
2018-11-11,41,False
2018-11-18,40,False
2018-11-25,52,False
2018-12-02,69,False
2018-12-09,29,False
2018-12-16,39,False
2018-12-23,17,False
2018-12-30,28,False
2019-01-06,50,False
2019-01-13,82,False
2019-01-20,50,False
2019-01-27,56,False
2019-02-03,45,False
2019-02-10,51,False
2019-02-17,32,False
2019-02-24,47,False
2019-03-03,52,False
2019-03-10,31,False
2019-03-17,52,False
2019-03-24,52,False
2019-03-31,28,False
2019-04-07,77,False
2019-04-14,54,False
2019-04-21,41,False
2019-04-28,59,False
2019-05-05,79,False
2019-05-12,48,False
2019-05-19,63,False
2019-05-26,42,False
2019-06-02,63,False
2019-06-09,33,False
2019-06-16,40,False
2019-06-23,64,False
2019-06-30,54,False
2019-07-07,37,False
2019-07-14,42,False
2019-07-21,52,False
2019-07-28,29,False
2019-08-04,33,False
2019-08-11,40,False
2019-08-18,32,False
2019-08-25,37,False
2019-09-01,63,False
2019-09-08,52,False
2019-09-15,66,False
2019-09-22,31,False
2019-09-29,42,False
2019-10-06,44,False
2019-10-13,39,False
2019-10-20,42,False
2019-10-27,37,False
2019-11-03,84,False
2019-11-10,53,False
2019-11-17,26,False
2019-11-24,33,False
2019-12-01,38,False
2019-12-08,45,False
2019-12-15,55,False
2019-12-22,22,False
2019-12-29,32,False
2020-01-05,80,False
2020-01-12,43,False
2020-01-19,41,False
2020-01-26,44,False
2020-02-02,38,False
2020-02-09,59,False
2020-02-16,40,False
2020-02-23,24,False
2020-03-01,41,False
2020-03-08,44,False
2020-03-15,34,False
2020-03-22,42,False
2020-03-29,34,False
2020-04-05,32,False
2020-04-12,19,False
2020-04-19,32,False
2020-04-26,51,False
2020-05-03,57,False
2020-05-10,56,False
