geoName,geoCode,Metallbau
Baden-Württemberg,DE-BW,72
Bavaria,DE-BY,86
Berlin,DE-BE,32
Brandenburg,DE-BB,70
Bremen,DE-HB,41
Hamburg,DE-HH,46
Hesse,DE-HE,64
Lower Saxony,DE-NI,84
Mecklenburg-Vorpommern,DE-MV,79
North Rhine-Westphalia,DE-NW,67
Rhineland-Palatinate,DE-RP,88
Saarland,DE-SL,69
Saxony,DE-SN,100
Saxony-Anhalt,DE-ST,78
Schleswig-Holstein,DE-SH,58
Thuringia,DE-TH,96
