geoName,geoCode,Metallbau
Aargau,CH-AG,28
Appenzell Innerrhoden,CH-AI,63
Appenzell Outer Rhodes,CH-AR,69
Basel-Landschaft,CH-BL,29
Basel-Stadt,CH-BS,16
Canton of Bern,CH-BE,33
Canton of Fribourg,CH-FR,11
Canton of Glarus,CH-GL,52
Canton of Jura,CH-JU,0
Canton of Neuchâtel,CH-NE,4
Canton of Obwalden,CH-OW,17
Canton of Schaffhausen,CH-SH,47
Canton of Schwyz,CH-SZ,55
Canton of Solothurn,CH-SO,29
Canton of Uri,CH-UR,100
Canton of Zug,CH-ZG,38
Geneva,CH-GE,1
Grisons,CH-GR,26
Lucerne,CH-LU,37
Nidwalden,CH-NW,40
St. Gallen,CH-SG,44
Thurgau,CH-TG,34
Ticino,CH-TI,4
Valais,CH-VS,6
Vaud,CH-VD,7
Zurich,CH-ZH,23
