date,aide déménagement
2018-01-07,0.41
2018-01-14,0.53
2018-01-21,0.79
2018-01-28,0.41
2018-02-04,0.4
2018-02-11,0.6
2018-02-18,0.0
2018-02-25,0.38
2018-03-04,0.39
2018-03-11,0.8
2018-03-18,0.0
2018-03-25,0.0
2018-04-01,0.43
2018-04-08,0.0
2018-04-15,0.46
2018-04-22,0.64
2018-04-29,0.63
2018-05-06,0.67
2018-05-13,0.84
2018-05-20,0.43
2018-05-27,0.42
2018-06-03,0.85
2018-06-10,0.61
2018-06-17,0.43
2018-06-24,0.64
2018-07-01,0.42
2018-07-08,0.0
2018-07-15,0.67
2018-07-22,0.44
2018-07-29,0.46
2018-08-05,0.46
2018-08-12,0.48
2018-08-19,0.45
2018-08-26,0.86
2018-09-02,0.43
2018-09-09,1.0
2018-09-16,0.87
2018-09-23,0.64
2018-09-30,0.64
2018-10-07,0.0
2018-10-14,0.0
2018-10-21,0.66
2018-10-28,0.86
2018-11-04,0.0
2018-11-11,0.85
2018-11-18,0.62
2018-11-25,0.42
2018-12-02,0.41
2018-12-09,0.56
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,0.44
2019-01-06,0.4
2019-01-13,0.41
2019-01-20,0.0
2019-01-27,0.38
2019-02-03,0.4
2019-02-10,0.4
2019-02-17,0.63
2019-02-24,0.0
2019-03-03,0.39
2019-03-10,0.0
2019-03-17,0.42
2019-03-24,0.4
2019-03-31,0.76
2019-04-07,0.64
2019-04-14,0.4
2019-04-21,0.4
2019-04-28,0.38
2019-05-05,0.38
2019-05-12,0.58
2019-05-19,0.38
2019-05-26,0.41
2019-06-02,0.38
2019-06-09,0.55
2019-06-16,0.59
2019-06-23,0.4
2019-06-30,0.39
2019-07-07,0.38
2019-07-14,0.39
2019-07-21,0.81
2019-07-28,0.61
2019-08-04,0.42
2019-08-11,0.66
2019-08-18,0.44
2019-08-25,0.55
2019-09-01,0.37
2019-09-08,0.38
2019-09-15,0.56
2019-09-22,0.0
2019-09-29,0.0
2019-10-06,0.0
2019-10-13,0.0
2019-10-20,0.38
2019-10-27,0.37
2019-11-03,0.35
2019-11-10,0.36
2019-11-17,0.53
2019-11-24,0.52
2019-12-01,0.69
2019-12-08,0.0
2019-12-15,0.7
2019-12-22,0.38
2019-12-29,0.74
2020-01-05,0.53
2020-01-12,0.46
2020-01-19,0.52
2020-01-26,0.5
2020-02-02,0.34
2020-02-09,0.33
2020-02-16,0.33
2020-02-23,0.33
2020-03-01,0.5
2020-03-08,0.43
2020-03-15,0.0
2020-03-22,0.45
2020-03-29,0.31
2020-04-05,0.31
2020-04-12,0.0
2020-04-19,0.31
2020-04-26,0.29
2020-05-03,0.45
2020-05-10,0.0
2020-05-17,0.0
