date,aide déménagement,isPartial
2018-01-07,43,False
2018-01-14,46,False
2018-01-21,72,False
2018-01-28,61,False
2018-02-04,46,False
2018-02-11,58,False
2018-02-18,78,False
2018-02-25,58,False
2018-03-04,58,False
2018-03-11,84,False
2018-03-18,70,False
2018-03-25,48,False
2018-04-01,68,False
2018-04-08,62,False
2018-04-15,75,False
2018-04-22,64,False
2018-04-29,52,False
2018-05-06,58,False
2018-05-13,59,False
2018-05-20,52,False
2018-05-27,40,False
2018-06-03,76,False
2018-06-10,80,False
2018-06-17,55,False
2018-06-24,85,False
2018-07-01,43,False
2018-07-08,98,False
2018-07-15,67,False
2018-07-22,79,False
2018-07-29,44,False
2018-08-05,68,False
2018-08-12,70,False
2018-08-19,60,False
2018-08-26,80,False
2018-09-02,49,False
2018-09-09,71,False
2018-09-16,89,False
2018-09-23,60,False
2018-09-30,67,False
2018-10-07,67,False
2018-10-14,71,False
2018-10-21,68,False
2018-10-28,64,False
2018-11-04,32,False
2018-11-11,50,False
2018-11-18,36,False
2018-11-25,73,False
2018-12-02,76,False
2018-12-09,70,False
2018-12-16,57,False
2018-12-23,30,False
2018-12-30,60,False
2019-01-06,80,False
2019-01-13,62,False
2019-01-20,60,False
2019-01-27,70,False
2019-02-03,99,False
2019-02-10,74,False
2019-02-17,90,False
2019-02-24,44,False
2019-03-03,46,False
2019-03-10,69,False
2019-03-17,71,False
2019-03-24,82,False
2019-03-31,76,False
2019-04-07,74,False
2019-04-14,79,False
2019-04-21,86,False
2019-04-28,65,False
2019-05-05,100,False
2019-05-12,72,False
2019-05-19,48,False
2019-05-26,94,False
2019-06-02,74,False
2019-06-09,70,False
2019-06-16,58,False
2019-06-23,57,False
2019-06-30,71,False
2019-07-07,64,False
2019-07-14,81,False
2019-07-21,83,False
2019-07-28,74,False
2019-08-04,43,False
2019-08-11,81,False
2019-08-18,65,False
2019-08-25,86,False
2019-09-01,73,False
2019-09-08,49,False
2019-09-15,83,False
2019-09-22,80,False
2019-09-29,83,False
2019-10-06,41,False
2019-10-13,64,False
2019-10-20,54,False
2019-10-27,50,False
2019-11-03,62,False
2019-11-10,63,False
2019-11-17,59,False
2019-11-24,92,False
2019-12-01,65,False
2019-12-08,48,False
2019-12-15,43,False
2019-12-22,40,False
2019-12-29,35,False
2020-01-05,82,False
2020-01-12,77,False
2020-01-19,77,False
2020-01-26,72,False
2020-02-02,33,False
2020-02-09,53,False
2020-02-16,77,False
2020-02-23,77,False
2020-03-01,79,False
2020-03-08,72,False
2020-03-15,29,False
2020-03-22,22,False
2020-03-29,31,False
2020-04-05,34,False
2020-04-12,43,False
2020-04-19,45,False
2020-04-26,38,False
2020-05-03,54,False
2020-05-10,79,False
2020-05-17,91,True
