geoName,geoCode,vestiti da sposa
Abruzzo,IT-65,52
Aosta,IT-23,0
Apulia,IT-75,43
Basilicata,IT-77,79
Calabria,IT-78,50
Campania,IT-72,50
Emilia-Romagna,IT-45,37
Friuli-Venezia Giulia,IT-36,69
Lazio,IT-62,46
Liguria,IT-42,80
Lombardy,IT-25,44
Marche,IT-57,41
Molise,IT-67,100
Piedmont,IT-21,70
Sardinia,IT-88,37
Sicily,IT-82,34
Trentino-Alto Adige/South Tyrol,IT-32,29
Tuscany,IT-52,51
Umbria,IT-55,19
Veneto,IT-34,74
