date,Catering matrimonio,isPartial
2018-01-07,90,False
2018-01-14,73,False
2018-01-21,58,False
2018-01-28,58,False
2018-02-04,29,False
2018-02-11,44,False
2018-02-18,50,False
2018-02-25,63,False
2018-03-04,42,False
2018-03-11,36,False
2018-03-18,36,False
2018-03-25,53,False
2018-04-01,55,False
2018-04-08,29,False
2018-04-15,30,False
2018-04-22,77,False
2018-04-29,30,False
2018-05-06,73,False
2018-05-13,80,False
2018-05-20,29,False
2018-05-27,44,False
2018-06-03,44,False
2018-06-10,49,False
2018-06-17,58,False
2018-06-24,22,False
2018-07-01,22,False
2018-07-08,36,False
2018-07-15,44,False
2018-07-22,44,False
2018-07-29,45,False
2018-08-05,23,False
2018-08-12,16,False
2018-08-19,48,False
2018-08-26,67,False
2018-09-02,100,False
2018-09-09,100,False
2018-09-16,77,False
2018-09-23,86,False
2018-09-30,86,False
2018-10-07,73,False
2018-10-14,67,False
2018-10-21,29,False
2018-10-28,57,False
2018-11-04,42,False
2018-11-11,51,False
2018-11-18,21,False
2018-11-25,43,False
2018-12-02,44,False
2018-12-09,0,False
2018-12-16,46,False
2018-12-23,35,False
2018-12-30,32,False
2019-01-06,59,False
2019-01-13,71,False
2019-01-20,55,False
2019-01-27,54,False
2019-02-03,41,False
2019-02-10,63,False
2019-02-17,50,False
2019-02-24,42,False
2019-03-03,44,False
2019-03-10,29,False
2019-03-17,66,False
2019-03-24,15,False
2019-03-31,15,False
2019-04-07,78,False
2019-04-14,44,False
2019-04-21,70,False
2019-04-28,72,False
2019-05-05,42,False
2019-05-12,35,False
2019-05-19,55,False
2019-05-26,54,False
2019-06-02,50,False
2019-06-09,72,False
2019-06-16,94,False
2019-06-23,67,False
2019-06-30,52,False
2019-07-07,71,False
2019-07-14,81,False
2019-07-21,37,False
2019-07-28,60,False
2019-08-04,31,False
2019-08-11,25,False
2019-08-18,46,False
2019-08-25,42,False
2019-09-01,79,False
2019-09-08,69,False
2019-09-15,67,False
2019-09-22,53,False
2019-09-29,81,False
2019-10-06,34,False
2019-10-13,88,False
2019-10-20,53,False
2019-10-27,40,False
2019-11-03,32,False
2019-11-10,26,False
2019-11-17,26,False
2019-11-24,65,False
2019-12-01,34,False
2019-12-08,41,False
2019-12-15,27,False
2019-12-22,31,False
2019-12-29,37,False
2020-01-05,66,False
2020-01-12,69,False
2020-01-19,57,False
2020-01-26,37,False
2020-02-02,68,False
2020-02-09,32,False
2020-02-16,57,False
2020-02-23,83,False
2020-03-01,24,False
2020-03-08,23,False
2020-03-15,34,False
2020-03-22,27,False
2020-03-29,44,False
2020-04-05,23,False
2020-04-12,23,False
2020-04-19,11,False
2020-04-26,29,True
