date,Treppenbau,isPartial
2018-01-07,24,False
2018-01-14,35,False
2018-01-21,24,False
2018-01-28,42,False
2018-02-04,31,False
2018-02-11,28,False
2018-02-18,73,False
2018-02-25,36,False
2018-03-04,55,False
2018-03-11,30,False
2018-03-18,24,False
2018-03-25,39,False
2018-04-01,39,False
2018-04-08,85,False
2018-04-15,19,False
2018-04-22,18,False
2018-04-29,31,False
2018-05-06,38,False
2018-05-13,48,False
2018-05-20,51,False
2018-05-27,36,False
2018-06-03,24,False
2018-06-10,17,False
2018-06-17,47,False
2018-06-24,49,False
2018-07-01,54,False
2018-07-08,26,False
2018-07-15,37,False
2018-07-22,38,False
2018-07-29,39,False
2018-08-05,38,False
2018-08-12,45,False
2018-08-19,56,False
2018-08-26,46,False
2018-09-02,43,False
2018-09-09,46,False
2018-09-16,67,False
2018-09-23,25,False
2018-09-30,31,False
2018-10-07,93,False
2018-10-14,31,False
2018-10-21,19,False
2018-10-28,36,False
2018-11-04,29,False
2018-11-11,47,False
2018-11-18,29,False
2018-11-25,23,False
2018-12-02,17,False
2018-12-09,35,False
2018-12-16,27,False
2018-12-23,21,False
2018-12-30,25,False
2019-01-06,45,False
2019-01-13,33,False
2019-01-20,100,False
2019-01-27,33,False
2019-02-03,45,False
2019-02-10,34,False
2019-02-17,52,False
2019-02-24,59,False
2019-03-03,68,False
2019-03-10,33,False
2019-03-17,53,False
2019-03-24,41,False
2019-03-31,28,False
2019-04-07,35,False
2019-04-14,25,False
2019-04-21,43,False
2019-04-28,35,False
2019-05-05,59,False
2019-05-12,58,False
2019-05-19,29,False
2019-05-26,18,False
2019-06-02,46,False
2019-06-09,71,False
2019-06-16,35,False
2019-06-23,47,False
2019-06-30,52,False
2019-07-07,51,False
2019-07-14,30,False
2019-07-21,20,False
2019-07-28,57,False
2019-08-04,38,False
2019-08-11,36,False
2019-08-18,54,False
2019-08-25,44,False
2019-09-01,40,False
2019-09-08,35,False
2019-09-15,47,False
2019-09-22,34,False
2019-09-29,17,False
2019-10-06,45,False
2019-10-13,39,False
2019-10-20,25,False
2019-10-27,42,False
2019-11-03,26,False
2019-11-10,48,False
2019-11-17,47,False
2019-11-24,26,False
2019-12-01,21,False
2019-12-08,48,False
2019-12-15,27,False
2019-12-22,25,False
2019-12-29,35,False
2020-01-05,36,False
2020-01-12,54,False
2020-01-19,46,False
2020-01-26,61,False
2020-02-02,30,False
2020-02-09,39,False
2020-02-16,41,False
2020-02-23,29,False
2020-03-01,54,False
2020-03-08,28,False
2020-03-15,28,False
2020-03-22,35,False
2020-03-29,37,False
2020-04-05,20,False
2020-04-12,19,False
2020-04-19,49,False
2020-04-26,54,False
2020-05-03,32,False
2020-05-10,37,False
