geoName,geoCode,Gartenmöbel
Aargau,CH-AG,54
Appenzell Innerrhoden,CH-AI,72
Appenzell Outer Rhodes,CH-AR,40
Basel-Landschaft,CH-BL,66
Basel-Stadt,CH-BS,34
Canton of Bern,CH-BE,40
Canton of Fribourg,CH-FR,16
Canton of Glarus,CH-GL,36
Canton of Jura,CH-JU,13
Canton of Neuchâtel,CH-NE,8
Canton of Obwalden,CH-OW,76
Canton of Schaffhausen,CH-SH,38
Canton of Schwyz,CH-SZ,64
Canton of Solothurn,CH-SO,63
Canton of Uri,CH-UR,100
Canton of Zug,CH-ZG,35
Geneva,CH-GE,2
Grisons,CH-GR,43
Lucerne,CH-LU,58
Nidwalden,CH-NW,33
St. Gallen,CH-SG,50
Thurgau,CH-TG,49
Ticino,CH-TI,8
Valais,CH-VS,15
Vaud,CH-VD,7
Zurich,CH-ZH,42
