geoName,geoCode,Bodenleger
Baden-Württemberg,DE-BW,63
Bavaria,DE-BY,100
Berlin,DE-BE,37
Brandenburg,DE-BB,51
Bremen,DE-HB,82
Hamburg,DE-HH,57
Hesse,DE-HE,34
Lower Saxony,DE-NI,47
Mecklenburg-Vorpommern,DE-MV,66
North Rhine-Westphalia,DE-NW,48
Rhineland-Palatinate,DE-RP,62
Saarland,DE-SL,38
Saxony,DE-SN,83
Saxony-Anhalt,DE-ST,52
Schleswig-Holstein,DE-SH,74
Thuringia,DE-TH,83
