date,anglais professionnel
2018-01-07,0.68
2018-01-14,0.44
2018-01-21,0.44
2018-01-28,0.92
2018-02-04,0.45
2018-02-11,0.0
2018-02-18,0.45
2018-02-25,0.43
2018-03-04,0.87
2018-03-11,0.73
2018-03-18,0.68
2018-03-25,0.46
2018-04-01,0.63
2018-04-08,0.94
2018-04-15,0.0
2018-04-22,0.95
2018-04-29,0.47
2018-05-06,0.0
2018-05-13,0.45
2018-05-20,0.0
2018-05-27,0.46
2018-06-03,0.47
2018-06-10,0.68
2018-06-17,0.48
2018-06-24,0.48
2018-07-01,0.0
2018-07-08,0.48
2018-07-15,0.5
2018-07-22,0.5
2018-07-29,0.51
2018-08-05,0.51
2018-08-12,0.0
2018-08-19,0.51
2018-08-26,0.0
2018-09-02,0.8
2018-09-09,0.48
2018-09-16,0.73
2018-09-23,0.48
2018-09-30,0.0
2018-10-07,0.48
2018-10-14,0.48
2018-10-21,0.0
2018-10-28,0.48
2018-11-04,0.46
2018-11-11,0.47
2018-11-18,0.0
2018-11-25,0.46
2018-12-02,0.46
2018-12-09,0.46
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,0.73
2019-01-06,0.45
2019-01-13,0.0
2019-01-20,0.44
2019-01-27,0.43
2019-02-03,0.89
2019-02-10,0.0
2019-02-17,0.47
2019-02-24,0.9
2019-03-03,0.44
2019-03-10,0.44
2019-03-17,0.94
2019-03-24,0.75
2019-03-31,0.43
2019-04-07,0.43
2019-04-14,0.45
2019-04-21,0.89
2019-04-28,0.43
2019-05-05,0.42
2019-05-12,0.43
2019-05-19,0.43
2019-05-26,0.0
2019-06-02,0.0
2019-06-09,0.42
2019-06-16,0.44
2019-06-23,0.44
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,0.0
2019-07-21,0.0
2019-07-28,0.46
2019-08-04,0.0
2019-08-11,0.49
2019-08-18,0.5
2019-08-25,0.0
2019-09-01,0.42
2019-09-08,0.84
2019-09-15,0.42
2019-09-22,0.83
2019-09-29,0.64
2019-10-06,0.85
2019-10-13,0.0
2019-10-20,0.56
2019-10-27,0.82
2019-11-03,0.6
2019-11-10,1.0
2019-11-17,0.6
2019-11-24,0.0
2019-12-01,0.39
2019-12-08,0.38
2019-12-15,0.39
2019-12-22,0.43
2019-12-29,0.42
2020-01-05,0.78
2020-01-12,0.39
2020-01-19,0.58
2020-01-26,0.75
2020-02-02,0.75
2020-02-09,0.74
2020-02-16,0.36
2020-02-23,0.48
2020-03-01,0.36
2020-03-08,0.54
2020-03-15,0.0
2020-03-22,0.34
2020-03-29,0.0
2020-04-05,0.34
2020-04-12,0.35
2020-04-19,0.34
2020-04-26,0.49
2020-05-03,0.33
2020-05-10,0.34
2020-05-17,0.0
