,geoName,anglais professionnel
3,Brittany,67.0
5,Centre-Val de Loire,95.0
7,Corsica,0.0
15,Pays de la Loire,40.0
18,Provence-Alpes-Côte d'Azur,97.0
21,Île-de-France,100.0
22,Grand-est,25.666666666666668
23,Hauts-de-france,27.5
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,54.333333333333336
27,Occitanie,64.0
28,Auvergne-Rhône-Alpes,28.0
