geoName,geoCode,Lebensmittel bestellen
Baden-Württemberg,DE-BW,85
Bavaria,DE-BY,76
Berlin,DE-BE,74
Brandenburg,DE-BB,83
Bremen,DE-HB,69
Hamburg,DE-HH,76
Hesse,DE-HE,63
Lower Saxony,DE-NI,74
Mecklenburg-Vorpommern,DE-MV,87
North Rhine-Westphalia,DE-NW,82
Rhineland-Palatinate,DE-RP,87
Saarland,DE-SL,100
Saxony,DE-SN,79
Saxony-Anhalt,DE-ST,83
Schleswig-Holstein,DE-SH,68
Thuringia,DE-TH,93
