geoName,geoCode,travaux appartement
Brittany,FR-E,46.0
Centre-Val de Loire,FR-F,15.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,33.0
Provence-Alpes-Côte d'Azur,FR-U,78.0
Île-de-France,FR-J,100.0
Grand-est,FR-GE,35.666666666666664
Hauts-de-france,FR-HF,11.5
Normandie,FR-NO,24.0
Bourgogne-Franche-Comté,FR-BFC,58.5
Nouvelle-Aquitaine,FR-NA,37.0
Occitanie,FR-OC,42.5
Auvergne-Rhône-Alpes,FR-AR,44.5
