geoName,geoCode,Kalkputz
Baden-Württemberg,DE-BW,55
Bavaria,DE-BY,53
Berlin,DE-BE,23
Brandenburg,DE-BB,26
Bremen,DE-HB,38
Hamburg,DE-HH,54
Hesse,DE-HE,56
Lower Saxony,DE-NI,43
Mecklenburg-Vorpommern,DE-MV,58
North Rhine-Westphalia,DE-NW,41
Rhineland-Palatinate,DE-RP,100
Saarland,DE-SL,78
Saxony,DE-SN,43
Saxony-Anhalt,DE-ST,32
Schleswig-Holstein,DE-SH,22
Thuringia,DE-TH,80
