geoName,geoCode,Hochzeitsringe
Baden-Württemberg,DE-BW,34
Bavaria,DE-BY,26
Berlin,DE-BE,40
Brandenburg,DE-BB,100
Bremen,DE-HB,0
Hamburg,DE-HH,58
Hesse,DE-HE,35
Lower Saxony,DE-NI,22
Mecklenburg-Vorpommern,DE-MV,40
North Rhine-Westphalia,DE-NW,29
Rhineland-Palatinate,DE-RP,46
Saarland,DE-SL,0
Saxony,DE-SN,33
Saxony-Anhalt,DE-ST,61
Schleswig-Holstein,DE-SH,36
Thuringia,DE-TH,30
